Entry	Entry name	Gene names
O75170	PP6R2_HUMAN	PPP6R2 KIAA0685 PP6R2 SAPS2
O75175	CNOT3_HUMAN	CNOT3 KIAA0691 LENG2 NOT3
O75190	DNJB6_HUMAN	DNAJB6 HSJ2 MRJ MSJ1
O75197	LRP5_HUMAN	LRP5 LR3 LRP7
O75330	HMMR_HUMAN	HMMR IHABP RHAMM
O75340	PDCD6_HUMAN	PDCD6 ALG2
O75369	FLNB_HUMAN	FLNB FLN1L FLN3 TABP TAP
O75387	LAT3_HUMAN	SLC43A1 LAT3 PB39 POV1
O75396	SC22B_HUMAN	SEC22B SEC22L1
O75419	CDC45_HUMAN	CDC45 CDC45L CDC45L2 UNQ374/PRO710
O75475	PSIP1_HUMAN	PSIP1 DFS70 LEDGF PSIP2
O75496	GEMI_HUMAN	GMNN
O75530	EED_HUMAN	EED
O75533	SF3B1_HUMAN	SF3B1 SAP155
O75581	LRP6_HUMAN	LRP6
O75694	NU155_HUMAN	NUP155 KIAA0791
O75717	WDHD1_HUMAN	WDHD1 AND1
O75751	S22A3_HUMAN	SLC22A3 EMTH OCT3
O75832	PSD10_HUMAN	PSMD10
O75888	TNF13_HUMAN	TNFSF13 APRIL TALL2 ZTNF2 UNQ383/PRO715
O75940	SPF30_HUMAN	SMNDC1 SMNR SPF30
O75956	CDKA2_HUMAN	CDK2AP2 DOC1R
O76021	RL1D1_HUMAN	RSL1D1 CATX11 CSIG PBK1 L12
O76082	S22A5_HUMAN	SLC22A5 OCTN2
O94907	DKK1_HUMAN	DKK1 UNQ492/PRO1008
O94956	SO2B1_HUMAN	SLCO2B1 KIAA0880 OATP2B1 OATPB SLC21A9
O94992	HEXI1_HUMAN	HEXIM1 CLP1 EDG1 HIS1 MAQ1
O95235	KI20A_HUMAN	KIF20A MKLP2 RAB6KIFL
O95255	MRP6_HUMAN	ABCC6 ARA MRP6
O95267	GRP1_HUMAN	RASGRP1 RASGRP
O95347	SMC2_HUMAN	SMC2 CAPE SMC2L1 PRO0324
O95398	RPGF3_HUMAN	RAPGEF3 CGEF1 EPAC EPAC1
O95433	AHSA1_HUMAN	AHSA1 C14orf3 HSPC322
O95436	NPT2B_HUMAN	SLC34A2
O95503	CBX6_HUMAN	CBX6
O95563	MPC2_HUMAN	MPC2 BRP44
O95696	BRD1_HUMAN	BRD1 BRL BRPF2
O95782	AP2A1_HUMAN	AP2A1 ADTAA CLAPA1
O95907	MOT3_HUMAN	SLC16A8 MCT3
O95931	CBX7_HUMAN	CBX7
P00167	CYB5_HUMAN	CYB5A CYB5
P00451	FA8_HUMAN	F8 F8C
P01008	ANT3_HUMAN	SERPINC1 AT3 PRO0309
P01011	AACT_HUMAN	SERPINA3 AACT GIG24 GIG25
P01019	ANGT_HUMAN	AGT SERPINA8
P01023	A2MG_HUMAN	A2M CPAMD5 FWP007
P01024	CO3_HUMAN	C3 CPAMD1
P01031	CO5_HUMAN	C5 CPAMD4
P01042	KNG1_HUMAN	KNG1 BDK KNG
P01127	PDGFB_HUMAN	PDGFB PDGF2 SIS
P01133	EGF_HUMAN	EGF
P01137	TGFB1_HUMAN	TGFB1 TGFB
P01138	NGF_HUMAN	NGF NGFB
P01160	ANF_HUMAN	NPPA ANP PND
P01215	GLHA_HUMAN	CGA
P01275	GLUC_HUMAN	GCG
P01282	VIP_HUMAN	VIP
P01308	INS_HUMAN	INS
P01344	IGF2_HUMAN	IGF2 PP1446
P01374	TNFB_HUMAN	LTA TNFB TNFSF1
P01375	TNFA_HUMAN	TNF TNFA TNFSF2
P01562	IFNA1_HUMAN	IFNA1; IFNA13
P01579	IFNG_HUMAN	IFNG
P01583	IL1A_HUMAN	IL1A IL1F1
P01584	IL1B_HUMAN	IL1B IL1F2
P01588	EPO_HUMAN	EPO
P01730	CD4_HUMAN	CD4
P01833	PIGR_HUMAN	PIGR
P01854	IGHE_HUMAN	IGHE
P01909	DQA1_HUMAN	HLA-DQA1
P02144	MYG_HUMAN	MB
P02489	CRYAA_HUMAN	CRYAA CRYA1 HSPB4
P02511	CRYAB_HUMAN	CRYAB CRYA2 HSPB5
P02545	LMNA_HUMAN	LMNA LMN1
P02647	APOA1_HUMAN	APOA1
P02675	FIBB_HUMAN	FGB
P02689	MYP2_HUMAN	PMP2
P02724	GLPA_HUMAN	GYPA GPA
P02743	SAMP_HUMAN	APCS PTX2
P02748	CO9_HUMAN	C9
P02751	FINC_HUMAN	FN1 FN
P02753	RET4_HUMAN	RBP4 PRO2222
P02763	A1AG1_HUMAN	ORM1 AGP1
P02765	FETUA_HUMAN	AHSG FETUA PRO2743
P02766	TTHY_HUMAN	TTR PALB
P02768	ALBU_HUMAN	ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341
P02771	FETA_HUMAN	AFP HPAFP
P02774	VTDB_HUMAN	GC
P02776	PLF4_HUMAN	PF4 CXCL4 SCYB4
P02778	CXL10_HUMAN	CXCL10 INP10 SCYB10
P02787	TRFE_HUMAN	TF PRO1400
P04004	VTNC_HUMAN	VTN
P04085	PDGFA_HUMAN	PDGFA PDGF1
P04114	APOB_HUMAN	APOB
P04141	CSF2_HUMAN	CSF2 GMCSF
P04156	PRIO_HUMAN	PRNP ALTPRP PRIP PRP
P04233	HG2A_HUMAN	CD74 DHLAG
P04271	S100B_HUMAN	S100B
P04275	VWF_HUMAN	VWF F8VWF
P04278	SHBG_HUMAN	SHBG
P04350	TBB4A_HUMAN	TUBB4A TUBB4 TUBB5
P04439	HLAA_HUMAN	HLA-A HLAA
P04792	HSPB1_HUMAN	HSPB1 HSP27 HSP28
P04843	RPN1_HUMAN	RPN1
P04899	GNAI2_HUMAN	GNAI2 GNAI2B
P05019	IGF1_HUMAN	IGF1 IBP1
P05112	IL4_HUMAN	IL4
P05113	IL5_HUMAN	IL5
P05121	PAI1_HUMAN	SERPINE1 PAI1 PLANH1
P05141	ADT2_HUMAN	SLC25A5 ANT2
P05160	F13B_HUMAN	F13B
P05162	LEG2_HUMAN	LGALS2
P05198	IF2A_HUMAN	EIF2S1 EIF2A
P05230	FGF1_HUMAN	FGF1 FGFA
P05231	IL6_HUMAN	IL6 IFNB2
P05362	ICAM1_HUMAN	ICAM1
P05387	RLA2_HUMAN	RPLP2 D11S2243E RPP2
P05413	FABPH_HUMAN	FABP3 FABP11 MDGI
P05455	LA_HUMAN	SSB
P05543	THBG_HUMAN	SERPINA7 TBG
P06127	CD5_HUMAN	CD5 LEU1
P06307	CCKN_HUMAN	CCK
P06396	GELS_HUMAN	GSN
P06400	RB_HUMAN	RB1
P06729	CD2_HUMAN	CD2 SRBC
P06730	IF4E_HUMAN	EIF4E EIF4EL1 EIF4F
P06731	CEAM5_HUMAN	CEACAM5 CEA
P06748	NPM_HUMAN	NPM1 NPM
P06753	TPM3_HUMAN	TPM3
P06881	CALCA_HUMAN	CALCA CALC1
P07148	FABPL_HUMAN	FABP1 FABPL
P07305	H10_HUMAN	H1-0 H1F0 H1FV
P07315	CRGC_HUMAN	CRYGC CRYG3
P07320	CRGD_HUMAN	CRYGD CRYG4
P07437	TBB5_HUMAN	TUBB TUBB5 OK/SW-cl.56
P07498	CASK_HUMAN	CSN3 CASK CSN10 CSNK
P07602	SAP_HUMAN	PSAP GLBA SAP1
P07900	HS90A_HUMAN	HSP90AA1 HSP90A HSPC1 HSPCA
P07910	HNRPC_HUMAN	HNRNPC HNRPC
P08123	CO1A2_HUMAN	COL1A2
P08185	CBG_HUMAN	SERPINA6 CBG
P08238	HS90B_HUMAN	HSP90AB1 HSP90B HSPC2 HSPCB
P08240	SRPRA_HUMAN	SRPRA SRPR
P08476	INHBA_HUMAN	INHBA
P08571	CD14_HUMAN	CD14
P08603	CFAH_HUMAN	CFH HF HF1 HF2
P08620	FGF4_HUMAN	FGF4 HST HSTF1 KS3
P08670	VIME_HUMAN	VIM
P08754	GNAI3_HUMAN	GNAI3
P08833	IBP1_HUMAN	IGFBP1 IBP1
P08865	RSSA_HUMAN	RPSA LAMBR LAMR1
P08887	IL6RA_HUMAN	IL6R
P08962	CD63_HUMAN	CD63 MLA1 TSPAN30
P09038	FGF2_HUMAN	FGF2 FGFB
P09132	SRP19_HUMAN	SRP19
P09382	LEG1_HUMAN	LGALS1
P09429	HMGB1_HUMAN	HMGB1 HMG1
P09471	GNAO_HUMAN	GNAO1
P09493	TPM1_HUMAN	TPM1 C15orf13 TMSA
P09496	CLCA_HUMAN	CLTA
P09544	WNT2_HUMAN	WNT2 INT1L1 IRP
P09603	CSF1_HUMAN	CSF1
P09651	ROA1_HUMAN	HNRNPA1 HNRPA1
P09681	GIP_HUMAN	GIP
P09758	TACD2_HUMAN	TACSTD2 GA733-1 M1S1 TROP2
P0C0P6	NPS_HUMAN	NPS
P0DMS9	TMIG3_HUMAN	TMIGD3 UNQ1931/PRO4406
P0DMV8	HS71A_HUMAN	HSPA1A HSP72 HSPA1 HSX70
P0DP23	CALM1_HUMAN	CALM1 CALM CAM CAM1
P0DP24	CALM2_HUMAN	CALM2 CAM2 CAMB
P10145	IL8_HUMAN	CXCL8 IL8
P10451	OSTP_HUMAN	SPP1 BNSP OPN PSEC0156
P10600	TGFB3_HUMAN	TGFB3
P10636	TAU_HUMAN	MAPT MAPTL MTBT1 TAU
P10646	TFPI1_HUMAN	TFPI LACI TFPI1
P10747	CD28_HUMAN	CD28
P10997	IAPP_HUMAN	IAPP
P11137	MTAP2_HUMAN	MAP2
P11142	HSP7C_HUMAN	HSPA8 HSC70 HSP73 HSPA10
P11166	GTR1_HUMAN	SLC2A1 GLUT1
P11168	GTR2_HUMAN	SLC2A2 GLUT2
P11169	GTR3_HUMAN	SLC2A3 GLUT3
P11226	MBL2_HUMAN	MBL2 COLEC1 MBL
P11940	PABP1_HUMAN	PABPC1 PAB1 PABP1 PABPC2
P12004	PCNA_HUMAN	PCNA
P12104	FABPI_HUMAN	FABP2 FABPI
P12236	ADT3_HUMAN	SLC25A6 ANT3 CDABP0051
P12259	FA5_HUMAN	F5
P12272	PTHR_HUMAN	PTHLH PTHRP
P12830	CADH1_HUMAN	CDH1 CDHE UVO
P13385	TDGF1_HUMAN	TDGF1 CRIPTO
P13591	NCAM1_HUMAN	NCAM1 NCAM
P13639	EF2_HUMAN	EEF2 EF2
P13796	PLSL_HUMAN	LCP1 PLS2
P13866	SC5A1_HUMAN	SLC5A1 NAGT SGLT1
P14151	LYAM1_HUMAN	SELL LNHR LYAM1
P14210	HGF_HUMAN	HGF HPTA
P14625	ENPL_HUMAN	HSP90B1 GRP94 TRA1
P14635	CCNB1_HUMAN	CCNB1 CCNB
P14672	GLUT4_HUMAN	SLC2A4 GLUT4
P14927	QCR7_HUMAN	UQCRB UQBP
P15090	FABP4_HUMAN	FABP4
P15248	IL9_HUMAN	IL9
P15311	EZRI_HUMAN	EZR VIL2
P15313	VATB1_HUMAN	ATP6V1B1 ATP6B1 VATB VPP3
P15391	CD19_HUMAN	CD19
P15498	VAV_HUMAN	VAV1 VAV
P15502	ELN_HUMAN	ELN
P15514	AREG_HUMAN	AREG AREGB SDGF
P15692	VEGFA_HUMAN	VEGFA VEGF
P15813	CD1D_HUMAN	CD1D
P15941	MUC1_HUMAN	MUC1 PUM
P16070	CD44_HUMAN	CD44 LHR MDU2 MDU3 MIC4
P16109	LYAM3_HUMAN	SELP GMRP GRMP
P16333	NCK1_HUMAN	NCK1 NCK
P16410	CTLA4_HUMAN	CTLA4 CD152
P16422	EPCAM_HUMAN	EPCAM GA733-2 M1S2 M4S1 MIC18 TACSTD1 TROP1
P16471	PRLR_HUMAN	PRLR
P16581	LYAM2_HUMAN	SELE ELAM1
P16671	CD36_HUMAN	CD36 GP3B GP4
P16949	STMN1_HUMAN	STMN1 C1orf215 LAP18 OP18
P17066	HSP76_HUMAN	HSPA6 HSP70B'
P17081	RHOQ_HUMAN	RHOQ ARHQ RASL7A TC10
P17813	EGLN_HUMAN	ENG END
P17927	CR1_HUMAN	CR1 C3BR
P17931	LEG3_HUMAN	LGALS3 MAC2
P17936	IBP3_HUMAN	IGFBP3 IBP3
P18065	IBP2_HUMAN	IGFBP2 BP2 IBP2
P18206	VINC_HUMAN	VCL
P18509	PACA_HUMAN	ADCYAP1
P18827	SDC1_HUMAN	SDC1 SDC
P19022	CADH2_HUMAN	CDH2 CDHN NCAD
P19256	LFA3_HUMAN	CD58 LFA3
P19320	VCAM1_HUMAN	VCAM1
P19338	NUCL_HUMAN	NCL
P19634	SL9A1_HUMAN	SLC9A1 APNH1 NHE1
P19652	A1AG2_HUMAN	ORM2 AGP2
P19823	ITIH2_HUMAN	ITIH2 IGHEP2
P19875	CXCL2_HUMAN	CXCL2 GRO2 GROB MIP2A SCYB2
P20138	CD33_HUMAN	CD33 SIGLEC3
P20248	CCNA2_HUMAN	CCNA2 CCN1 CCNA
P20292	AL5AP_HUMAN	ALOX5AP FLAP
P20645	MPRD_HUMAN	M6PR MPR46 MPRD
P20916	MAG_HUMAN	MAG GMA
P21281	VATB2_HUMAN	ATP6V1B2 ATP6B2 VPP3
P21291	CSRP1_HUMAN	CSRP1 CSRP CYRP
P21583	SCF_HUMAN	KITLG MGF SCF
P21741	MK_HUMAN	MDK MK1 NEGF2
P21781	FGF7_HUMAN	FGF7 KGF
P21796	VDAC1_HUMAN	VDAC1 VDAC
P22223	CADH3_HUMAN	CDH3 CDHP
P22301	IL10_HUMAN	IL10
P22626	ROA2_HUMAN	HNRNPA2B1 HNRPA2B1
P22674	CCNO_HUMAN	CCNO
P22692	IBP4_HUMAN	IGFBP4 IBP4
P22732	GTR5_HUMAN	SLC2A5 GLUT5
P22897	MRC1_HUMAN	MRC1 CLEC13D CLEC13DL MRC1L1
P23025	XPA_HUMAN	XPA XPAC
P23510	TNFL4_HUMAN	TNFSF4 TXGP1
P23528	COF1_HUMAN	CFL1 CFL
P23588	IF4B_HUMAN	EIF4B
P23975	SC6A2_HUMAN	SLC6A2 NAT1 NET1 SLC6A5
P24385	CCND1_HUMAN	CCND1 BCL1 PRAD1
P24387	CRHBP_HUMAN	CRHBP CRFBP
P24394	IL4RA_HUMAN	IL4R IL4RA 582J2.1
P24534	EF1B_HUMAN	EEF1B2 EEF1B EF1B
P24592	IBP6_HUMAN	IGFBP6 IBP6
P24593	IBP5_HUMAN	IGFBP5 IBP5
P24821	TENA_HUMAN	TNC HXB
P24864	CCNE1_HUMAN	CCNE1 CCNE
P25054	APC_HUMAN	APC DP2.5
P25440	BRD2_HUMAN	BRD2 KIAA9001 RING3
P25705	ATPA_HUMAN	ATP5F1A ATP5A ATP5A1 ATP5AL2 ATPM
P25963	IKBA_HUMAN	NFKBIA IKBA MAD3 NFKBI
P26038	MOES_HUMAN	MSN
P26447	S10A4_HUMAN	S100A4 CAPL MTS1
P26583	HMGB2_HUMAN	HMGB2 HMG2
P26599	PTBP1_HUMAN	PTBP1 PTB
P26641	EF1G_HUMAN	EEF1G EF1G PRO1608
P26842	CD27_HUMAN	CD27 TNFRSF7
P26927	HGFL_HUMAN	MST1 D3F15S2 DNF15S2 HGFL
P27348	1433T_HUMAN	YWHAQ
P27694	RFA1_HUMAN	RPA1 REPA1 RPA70
P27824	CALX_HUMAN	CANX
P28908	TNR8_HUMAN	TNFRSF8 CD30 D1S166E
P29033	CXB2_HUMAN	GJB2
P29279	CCN2_HUMAN	CCN2 CTGF HCS24 IGFBP8
P29353	SHC1_HUMAN	SHC1 SHC SHCA
P29374	ARI4A_HUMAN	ARID4A RBBP1 RBP1
P29460	IL12B_HUMAN	IL12B NKSF2
P29692	EF1D_HUMAN	EEF1D EF1D
P29762	RABP1_HUMAN	CRABP1 RBP5
P29965	CD40L_HUMAN	CD40LG CD40L TNFSF5 TRAP
P29992	GNA11_HUMAN	GNA11 GA11
P30086	PEBP1_HUMAN	PEBP1 PBP PEBP
P30203	CD6_HUMAN	CD6
P30281	CCND3_HUMAN	CCND3
P30531	SC6A1_HUMAN	SLC6A1 GABATR GABT1 GAT1
P31358	CD52_HUMAN	CD52 CDW52 HE5
P31639	SC5A2_HUMAN	SLC5A2 SGLT2
P31641	SC6A6_HUMAN	SLC6A6
P31645	SC6A4_HUMAN	SLC6A4 HTT SERT
P31689	DNJA1_HUMAN	DNAJA1 DNAJ2 HDJ2 HSJ2 HSPF4
P31943	HNRH1_HUMAN	HNRNPH1 HNRPH HNRPH1
P31946	1433B_HUMAN	YWHAB
P31947	1433S_HUMAN	SFN HME1
P32418	NAC1_HUMAN	SLC8A1 CNC NCX1
P32942	ICAM3_HUMAN	ICAM3
P32970	CD70_HUMAN	CD70 CD27L CD27LG TNFSF7
P33176	KINH_HUMAN	KIF5B KNS KNS1
P33681	CD80_HUMAN	CD80 CD28LG CD28LG1 LAB7
P35221	CTNA1_HUMAN	CTNNA1
P35222	CTNB1_HUMAN	CTNNB1 CTNNB OK/SW-cl.35 PRO2286
P35225	IL13_HUMAN	IL13 NC30
P35226	BMI1_HUMAN	BMI1 PCGF4 RNF51
P35232	PHB_HUMAN	PHB PHB1
P35247	SFTPD_HUMAN	SFTPD COLEC7 PSPD SFTP4
P35318	ADML_HUMAN	ADM AM
P35579	MYH9_HUMAN	MYH9
P35580	MYH10_HUMAN	MYH10
P36404	ARL2_HUMAN	ARL2
P36542	ATPG_HUMAN	ATP5F1C ATP5C ATP5C1 ATP5CL1
P36955	PEDF_HUMAN	SERPINF1 PEDF PIG35
P37235	HPCL1_HUMAN	HPCAL1 BDR1
P37840	SYUA_HUMAN	SNCA NACP PARK1
P38117	ETFB_HUMAN	ETFB FP585
P38646	GRP75_HUMAN	HSPA9 GRP75 HSPA9B mt-HSP70
P38936	CDN1A_HUMAN	CDKN1A CAP20 CDKN1 CIP1 MDA6 PIC1 SDI1 WAF1
P39687	AN32A_HUMAN	ANP32A C15orf1 LANP MAPM PHAP1
P40225	TPO_HUMAN	THPO MGDF
P40259	CD79B_HUMAN	CD79B B29 IGB
P40337	VHL_HUMAN	VHL
P40933	IL15_HUMAN	IL15
P40937	RFC5_HUMAN	RFC5
P40967	PMEL_HUMAN	PMEL D12S53E PMEL17 SILV
P41134	ID1_HUMAN	ID1 BHLHB24 ID
P41217	OX2G_HUMAN	CD200 MOX1 MOX2 My033
P41440	S19A1_HUMAN	SLC19A1 FLOT1 RFC1
P42081	CD86_HUMAN	CD86 CD28LG2
P42566	EPS15_HUMAN	EPS15 AF1P
P42568	AF9_HUMAN	MLLT3 AF9 YEATS3
P42677	RS27_HUMAN	RPS27 MPS1
P42704	LPPRC_HUMAN	LRPPRC LRP130
P42858	HD_HUMAN	HTT HD IT15
P43003	EAA1_HUMAN	SLC1A3 EAAT1 GLAST GLAST1
P43004	EAA2_HUMAN	SLC1A2 EAAT2 GLT1
P43005	EAA3_HUMAN	SLC1A1 EAAC1 EAAT3
P43007	SATT_HUMAN	SLC1A4 ASCT1 SATT
P43246	MSH2_HUMAN	MSH2
P43320	CRBB2_HUMAN	CRYBB2 CRYB2 CRYB2A
P43351	RAD52_HUMAN	RAD52
P43358	MAGA4_HUMAN	MAGEA4 MAGE4
P43627	KI2L2_HUMAN	KIR2DL2 CD158B1 NKAT6
P43628	KI2L3_HUMAN	KIR2DL3 CD158B2 KIRCL23 NKAT2
P45973	CBX5_HUMAN	CBX5 HP1A
P46059	S15A1_HUMAN	SLC15A1 PEPT1
P46108	CRK_HUMAN	CRK
P46527	CDN1B_HUMAN	CDKN1B KIP1
P46531	NOTC1_HUMAN	NOTCH1 TAN1
P46721	SO1A2_HUMAN	SLCO1A2 OATP OATP1 OATP1A2 SLC21A3
P46821	MAP1B_HUMAN	MAP1B
P46940	IQGA1_HUMAN	IQGAP1 KIAA0051
P47756	CAPZB_HUMAN	CAPZB
P47929	LEG7_HUMAN	LGALS7 PIG1; LGALS7B
P48023	TNFL6_HUMAN	FASLG APT1LG1 CD95L FASL TNFSF6
P48061	SDF1_HUMAN	CXCL12 SDF1 SDF1A SDF1B
P48065	S6A12_HUMAN	SLC6A12
P48066	S6A11_HUMAN	SLC6A11 GABT3 GAT3
P48067	SC6A9_HUMAN	SLC6A9
P48357	LEPR_HUMAN	LEPR DB OBR
P48507	GSH0_HUMAN	GCLM GLCLR
P48643	TCPE_HUMAN	CCT5 CCTE KIAA0098
P48764	SL9A3_HUMAN	SLC9A3 NHE3
P49023	PAXI_HUMAN	PXN
P49279	NRAM1_HUMAN	SLC11A1 LSH NRAMP NRAMP1
P49281	NRAM2_HUMAN	SLC11A2 DCT1 DMT1 NRAMP2 OK/SW-cl.20
P49406	RM19_HUMAN	MRPL19 KIAA0104 MRPL15
P49407	ARRB1_HUMAN	ARRB1 ARR1
P49411	EFTU_HUMAN	TUFM
P49638	TTPA_HUMAN	TTPA TPP1
P49755	TMEDA_HUMAN	TMED10 TMP21
P49763	PLGF_HUMAN	PGF PGFL PLGF
P49765	VEGFB_HUMAN	VEGFB VRF
P49767	VEGFC_HUMAN	VEGFC
P49798	RGS4_HUMAN	RGS4
P50148	GNAQ_HUMAN	GNAQ GAQ
P50454	SERPH_HUMAN	SERPINH1 CBP1 CBP2 HSP47 SERPINH2 PIG14
P50552	VASP_HUMAN	VASP
P50591	TNF10_HUMAN	TNFSF10 APO2L TRAIL
P50990	TCPQ_HUMAN	CCT8 C21orf112 CCTQ KIAA0002
P51114	FXR1_HUMAN	FXR1
P51398	RT29_HUMAN	DAP3 MRPS29
P51571	SSRD_HUMAN	SSR4 TRAPD
P51572	BAP31_HUMAN	BCAP31 BAP31 DXS1357E
P51608	MECP2_HUMAN	MECP2
P51671	CCL11_HUMAN	CCL11 SCYA11
P52292	IMA1_HUMAN	KPNA2 RCH1 SRP1
P52565	GDIR1_HUMAN	ARHGDIA GDIA1
P52732	KIF11_HUMAN	KIF11 EG5 KNSL1 TRIP5
P52757	CHIO_HUMAN	CHN2 ARHGAP3 BCH
P52815	RM12_HUMAN	MRPL12 MRPL7 RPML12
P52907	CAZA1_HUMAN	CAPZA1
P53420	CO4A4_HUMAN	COL4A4
P53618	COPB_HUMAN	COPB1 COPB MSTP026
P53985	MOT1_HUMAN	SLC16A1 MCT1
P54219	VMAT1_HUMAN	SLC18A1 VAT1 VMAT1
P54652	HSP72_HUMAN	HSPA2
P55011	S12A2_HUMAN	SLC12A2 NKCC1
P55017	S12A3_HUMAN	SLC12A3 NCC TSC
P55157	MTP_HUMAN	MTTP MTP
P55201	BRPF1_HUMAN	BRPF1 BR140
P55795	HNRH2_HUMAN	HNRNPH2 FTP3 HNRPH2
P55899	FCGRN_HUMAN	FCGRT FCRN
P56470	LEG4_HUMAN	LGALS4
P56537	IF6_HUMAN	EIF6 EIF3A ITGB4BP OK/SW-cl.27
P56545	CTBP2_HUMAN	CTBP2
P56703	WNT3_HUMAN	WNT3 INT4
P56704	WNT3A_HUMAN	WNT3A
P56856	CLD18_HUMAN	CLDN18 UNQ778/PRO1572
P58335	ANTR2_HUMAN	ANTXR2 CMG2
