Entry	Entry name	Gene names	EC number
P22735	TGM1_HUMAN	TGM1 KTG	2.3.2.13
Q9BWF2	TRAIP_HUMAN	TRAIP RNF206 TRIP	2.3.2.27
Q969T4	UB2E3_HUMAN	UBE2E3 UBCE4 UBCH9	2.3.2.23
Q96RU2	UBP28_HUMAN	USP28 KIAA1515	3.4.19.12
Q9BY64	UDB28_HUMAN	UGT2B28	2.4.1.17
Q9Y5T5	UBP16_HUMAN	USP16 MSTP039	3.4.19.12
Q96JH7	VCIP1_HUMAN	VCPIP1 KIAA1850 VCIP135	3.4.19.12
Q86Y38	XYLT1_HUMAN	XYLT1 XT1	2.4.2.26
Q9NZC7	WWOX_HUMAN	WWOX FOR SDR41C1 WOX1	1.1.1.-
Q9UIJ5	ZDHC2_HUMAN	ZDHHC2 REAM REC ZNF372	2.3.1.225; 2.3.1.-
Q96BR1	SGK3_HUMAN	SGK3 CISK SGKL	2.7.11.1
Q96FJ0	STALP_HUMAN	STAMBPL1 AMSHLP KIAA1373	3.4.19.-
Q00403	TF2B_HUMAN	GTF2B TF2B TFIIB	2.3.1.48
O60235	TM11D_HUMAN	TMPRSS11D HAT	3.4.21.-
Q86V40	TIKI1_HUMAN	TRABD2A C2orf89 TIKI1	3.4.-.-
O95361	TRI16_HUMAN	TRIM16 EBBP	2.3.2.27
Q8N841	TTLL6_HUMAN	TTLL6 TTL.6	6.-.-.-
Q9NNW7	TRXR2_HUMAN	TXNRD2 KIAA1652 TRXR2	1.8.1.9
P61077	UB2D3_HUMAN	UBE2D3 UBC5C UBCH5C	2.3.2.23; 2.3.2.24
P22314	UBA1_HUMAN	UBA1 A1S9T UBE1	6.2.1.45
Q9Y6I4	UBP3_HUMAN	USP3	3.4.19.12
Q9H4A3	WNK1_HUMAN	WNK1 HSN2 KDP KIAA0344 PRKWNK1	2.7.11.1
P51688	SPHM_HUMAN	SGSH HSS	3.10.1.1
Q9HAU4	SMUF2_HUMAN	SMURF2	2.3.2.26
Q9UKN8	TF3C4_HUMAN	GTF3C4	2.3.1.48
O60603	TLR2_HUMAN	TLR2 TIL4	3.2.2.6
Q8WV44	TRI41_HUMAN	TRIM41 RINCK	2.3.2.27
Q6AZZ1	TRI68_HUMAN	TRIM68 GC109 RNF137 SS56	2.3.2.27
Q9Y2H2	SAC2_HUMAN	INPP5F KIAA0966 SAC2 MSTP007 MSTP047	3.1.3.25
Q8NCE0	SEN2_HUMAN	TSEN2 SEN2	4.6.1.16
Q92187	SIA8D_HUMAN	ST8SIA4 PST PST1 SIAT8D	2.4.99.-
Q9UL52	TM11E_HUMAN	TMPRSS11E DESC1 TMPRSS11E2 UNQ742/PRO1461	3.4.21.-
Q13263	TIF1B_HUMAN	TRIM28 KAP1 RNF96 TIF1B	2.3.2.27
Q12974	TP4A2_HUMAN	PTP4A2 PRL2 PTPCAAX2 BM-008	3.1.3.48
O95551	TYDP2_HUMAN	TDP2 EAP2 TTRAP AD-022	3.1.4.-
Q5VYS8	TUT7_HUMAN	TUT7 HS2 KIAA1711 ZCCHC6	2.7.7.52
Q969W1	ZDH16_HUMAN	ZDHHC16 APH2 UNQ2570/PRO6258	2.3.1.225
Q9BV68	RN126_HUMAN	RNF126	2.3.2.27
Q15569	TESK1_HUMAN	TESK1	2.7.12.1
Q9Y6M0	TEST_HUMAN	PRSS21 ESP1 TEST1 UNQ266/PRO303	3.4.21.-
Q13395	TARB1_HUMAN	TARBP1 TRM3 TRP185	2.1.1.-
P00734	THRB_HUMAN	F2	3.4.21.5
O94972	TRI37_HUMAN	TRIM37 KIAA0898 MUL POB1	2.3.2.27
P02788	TRFL_HUMAN	LTF GIG12 LF	3.4.21.-
Q8NFU3	TSTD1_HUMAN	TSTD1 KAT	2.8.1.-
P53804	TTC3_HUMAN	TTC3 DCRR1 RNF105 TPRD	2.3.2.27
Q9H9P5	UNKL_HUMAN	UNKL C16orf28 ZC3H5L ZC3HDC5L	2.3.2.-
Q7Z7E8	UB2Q1_HUMAN	UBE2Q1 NICE5 UBE2Q PRO3094	2.3.2.23
O95155	UBE4B_HUMAN	UBE4B HDNB1 KIAA0684 UFD2	2.3.2.27
Q9BYP7	WNK3_HUMAN	WNK3 KIAA1566 PRKWNK3	2.7.11.1
P98170	XIAP_HUMAN	XIAP API3 BIRC4 IAP3	2.3.2.27
P18433	PTPRA_HUMAN	PTPRA PTPA PTPRL2	3.1.3.48
O95059	RPP14_HUMAN	RPP14	3.1.26.5
Q9H2K8	TAOK3_HUMAN	TAOK3 DPK JIK KDS MAP3K18	2.7.11.1
Q9Y4K3	TRAF6_HUMAN	TRAF6 RNF85	2.3.2.27
Q9UBP6	TRMB_HUMAN	METTL1 C12orf1	2.1.1.33; 2.1.1.-
Q86XT4	TRI50_HUMAN	TRIM50 TRIM50A	2.3.2.27
P40126	TYRP2_HUMAN	DCT TYRP2	5.3.3.12
Q9H6S0	YTDC2_HUMAN	YTHDC2	3.6.4.13
P10586	PTPRF_HUMAN	PTPRF LAR	3.1.3.48
P23471	PTPRZ_HUMAN	PTPRZ1 HTPZP2 PTPRZ PTPRZ2 PTPZ	3.1.3.48
Q7Z6E9	RBBP6_HUMAN	RBBP6 P2PR PACT RBQ1 My038	2.3.2.27
Q96EQ8	RN125_HUMAN	RNF125	2.3.2.27
Q96HN2	SAHH3_HUMAN	AHCYL2 KIAA0828	3.3.1.1
Q9HD40	SPCS_HUMAN	SEPSECS TRNP48	2.9.1.2
Q96RS0	TGS1_HUMAN	TGS1 HCA137 NCOA6IP PIMT	2.1.1.-
P51854	TKTL1_HUMAN	TKTL1 TKR TKT2	2.2.1.1
Q8TEY7	UBP33_HUMAN	USP33 KIAA1097 VDU1	3.4.19.12
Q6PI48	SYDM_HUMAN	DARS2	6.1.1.12
Q9NRH2	SNRK_HUMAN	SNRK KIAA0096 SNFRK	2.7.11.1
P50226	ST1A2_HUMAN	SULT1A2 STP2	2.8.2.1
Q9Y2H1	ST38L_HUMAN	STK38L KIAA0965 NDR2	2.7.11.1
Q8IYB8	SUV3_HUMAN	SUPV3L1 SUV3	3.6.4.13
O14746	TERT_HUMAN	TERT EST2 TCS1 TRT	2.7.7.49
O15393	TMPS2_HUMAN	TMPRSS2 PRSS10	3.4.21.-
Q9C030	TRIM6_HUMAN	TRIM6 RNF89	2.3.2.27
Q8IUH5	ZDH17_HUMAN	ZDHHC17 HIP14 HIP3 HYPH KIAA0946 HSPC294	2.3.1.225; 2.3.1.-
P29474	NOS3_HUMAN	NOS3	1.14.13.39
Q9BY49	PECR_HUMAN	PECR SDR29C1 PRO1004	1.3.1.38
Q5SGD2	PPM1L_HUMAN	PPM1L PP2CE	3.1.3.16
Q6P1J6	PLB1_HUMAN	PLB1 PLB	3.1.1.5; 3.1.1.4; 3.1.1.3
O43704	ST1B1_HUMAN	SULT1B1 ST1B2 SULT1B2	2.8.2.-
P56192	SYMC_HUMAN	MARS1 MARS	6.1.1.10
P17948	VGFR1_HUMAN	FLT1 FLT FRT VEGFR1	2.7.10.1
Q96GD0	PLPP_HUMAN	PDXP CIN PLP PLPP	3.1.3.3; 3.1.3.74
O00469	PLOD2_HUMAN	PLOD2	1.14.11.4
Q8NEB9	PK3C3_HUMAN	PIK3C3 VPS34	2.7.1.137
P08922	ROS1_HUMAN	ROS1 MCF3 ROS	2.7.10.1
O14802	RPC1_HUMAN	POLR3A	2.7.7.6
P19474	RO52_HUMAN	TRIM21 RNF81 RO52 SSA1	2.3.2.27
P23526	SAHH_HUMAN	AHCY SAHH	3.3.1.1
O60264	SMCA5_HUMAN	SMARCA5 SNF2H WCRF135	3.6.4.-
P49588	SYAC_HUMAN	AARS1 AARS	6.1.1.7
P14410	SUIS_HUMAN	SI	3.2.1.48; 3.2.1.10
P49459	UBE2A_HUMAN	UBE2A RAD6A	2.3.2.23
P0DTE5	UD2A2_HUMAN	UGT2A2	2.4.1.17
P60510	PP4C_HUMAN	PPP4C PPP4 PPX	3.1.3.16
O14829	PPE1_HUMAN	PPEF1 PPEF PPP7C	3.1.3.16
P36873	PP1G_HUMAN	PPP1CC	3.1.3.16
Q96D59	RN183_HUMAN	RNF183	2.3.2.27
O75962	TRIO_HUMAN	TRIO	2.7.11.1
Q15631	TSN_HUMAN	TSN	3.1.-.-
Q6ZT98	TTLL7_HUMAN	TTLL7	6.-.-.-
P42681	TXK_HUMAN	TXK PTK4 RLK	2.7.10.2
P15309	PPAP_HUMAN	ACP3 ACPP	3.1.3.2; 3.1.3.5
P28065	PSB9_HUMAN	PSMB9 LMP2 PSMB6i RING12	3.4.25.1
Q5JRX3	PREP_HUMAN	PITRM1 KIAA1104 MP1 PREP	3.4.24.-
Q6ZNA4	RN111_HUMAN	RNF111	2.3.2.27
Q9BXR0	TGT_HUMAN	QTRT1 TGT TGUT	2.4.2.29
Q96FX7	TRM61_HUMAN	TRMT61A C14orf172 TRM61	2.1.1.220; 2.1.1.-
Q9UPN9	TRI33_HUMAN	TRIM33 KIAA1113 RFG7 TIF1G	2.3.2.27
P30530	UFO_HUMAN	AXL UFO	2.7.10.1
Q9Y5K5	UCHL5_HUMAN	UCHL5 UCH37 AD-019 CGI-70	3.4.19.12
O94966	UBP19_HUMAN	USP19 KIAA0891 ZMYND9	3.4.19.12
O95498	VNN2_HUMAN	VNN2	3.5.1.92
Q9H6R6	ZDHC6_HUMAN	ZDHHC6 ZNF376	2.3.1.225; 2.3.1.-
Q86UK7	ZN598_HUMAN	ZNF598	2.3.2.27
Q8WWF5	ZNRF4_HUMAN	ZNRF4 RNF204	2.3.2.27
Q8NHG8	ZNRF2_HUMAN	ZNRF2 RNF202	2.3.2.27
O95602	RPA1_HUMAN	POLR1A	2.7.7.6
Q05823	RN5A_HUMAN	RNASEL RNS4	3.1.26.-
P49888	ST1E1_HUMAN	SULT1E1 STE	2.8.2.4
Q9H7B4	SMYD3_HUMAN	SMYD3 ZMYND1 ZNFN3A1	2.1.1.354
Q9NSD9	SYFB_HUMAN	FARSB FARSLB FRSB HSPC173	6.1.1.20
Q9Y2Z4	SYYM_HUMAN	YARS2 CGI-04	6.1.1.1
P04053	TDT_HUMAN	DNTT TDT	2.7.7.31
Q8WY91	THAP4_HUMAN	THAP4 CGI-36 PP238	5.99.-.-
A0AVI4	TM129_HUMAN	TMEM129	2.3.2.27
Q96A61	TRI52_HUMAN	TRIM52 RNF102	2.3.2.27
Q9NYG2	ZDHC3_HUMAN	ZDHHC3 HSD49	2.3.1.225; 2.3.1.-
Q9H1E1	RNAS7_HUMAN	RNASE7 UNQ2516/PRO6006	3.1.27.-
Q9Y265	RUVB1_HUMAN	RUVBL1 INO80H NMP238 TIP49 TIP49A	3.6.4.12
Q9H4F1	SIA7D_HUMAN	ST6GALNAC4 SIAT3C SIAT7D	2.4.99.7
Q15477	SKIV2_HUMAN	SKIV2L DDX13 SKI2W SKIV2 W	3.6.4.-
P00750	TPA_HUMAN	PLAT	3.4.21.68
Q8IYT8	ULK2_HUMAN	ULK2 KIAA0623	2.7.11.1
O75063	XYLK_HUMAN	FAM20B KIAA0475	2.7.1.-
Q8WVZ1	ZDH19_HUMAN	ZDHHC19	2.3.1.225
Q687X5	STEA4_HUMAN	STEAP4 STAMP2 TNFAIP9	1.16.1.9
Q8N661	TM86B_HUMAN	TMEM86B	3.3.2.2
P42765	THIM_HUMAN	ACAA2	2.3.1.16; 2.3.1.9; 3.1.2.-; 3.1.2.1; 3.1.2.2
Q6Q0C0	TRAF7_HUMAN	TRAF7 RFWD1 RNF119	2.3.2.27
P56180	TPTE_HUMAN	TPTE	3.1.3.48
Q96LD4	TRI47_HUMAN	TRIM47 GOA RNF100	2.3.2.27
Q5T4D3	TMTC4_HUMAN	TMTC4	2.4.1.109
Q9Y385	UB2J1_HUMAN	UBE2J1 NCUBE1 CGI-76 HSPC153 HSPC205	2.3.2.23
Q9H832	UBE2Z_HUMAN	UBE2Z HOYS7	2.3.2.23
O43314	VIP2_HUMAN	PPIP5K2 HISPPD1 KIAA0433 VIP2	2.7.4.21; 2.7.4.24
Q9H5U6	ZCHC4_HUMAN	ZCCHC4	2.1.1.-
Q8N966	ZDH22_HUMAN	ZDHHC22 C14orf59	2.3.1.225
Q9NV23	SAST_HUMAN	OLAH THEDC1	3.1.2.14
Q92835	SHIP1_HUMAN	INPP5D SHIP SHIP1	3.1.3.86; 3.1.3.56; 3.1.3.36
Q9NXA8	SIR5_HUMAN	SIRT5 SIR2L5	2.3.1.-
O00338	ST1C2_HUMAN	SULT1C2 SULT1C1	2.8.2.-
Q5ST30	SYVM_HUMAN	VARS2 KIAA1885 VARS2L VARSL	6.1.1.9
Q8N1Q8	THEM5_HUMAN	THEM5 ACOT15	3.1.2.2
Q13049	TRI32_HUMAN	TRIM32 HT2A	2.3.2.27
O60704	TPST2_HUMAN	TPST2	2.8.2.20
P29597	TYK2_HUMAN	TYK2	2.7.10.2
P06239	LCK_HUMAN	LCK	2.7.10.2
Q6P5Z2	PKN3_HUMAN	PKN3 PKNBETA	2.7.11.13
Q12913	PTPRJ_HUMAN	PTPRJ DEP1	3.1.3.48
Q8NFT2	STEA2_HUMAN	STEAP2 PCANAP1 STAMP1 UNQ6507/PRO23203	1.16.1.-
Q9BRZ2	TRI56_HUMAN	TRIM56 RNF109	2.3.2.27
Q9Y2X8	UB2D4_HUMAN	UBE2D4 UBCH5D	2.3.2.23
P54578	UBP14_HUMAN	USP14 TGT	3.4.19.12
Q9BZX2	UCK2_HUMAN	UCK2 UMPK	2.7.1.48
A1L167	U2QL1_HUMAN	UBE2QL1	2.3.2.23
P13010	XRCC5_HUMAN	XRCC5 G22P2	3.6.4.-
P23921	RIR1_HUMAN	RRM1 RR1	1.17.4.1
P49591	SYSC_HUMAN	SARS1 SARS SERS	6.1.1.11
P38435	VKGC_HUMAN	GGCX GC	4.1.1.90
O15164	TIF1A_HUMAN	TRIM24 RNF82 TIF1 TIF1A	2.3.2.27
Q9H3S4	TPK1_HUMAN	TPK1	2.7.6.2
Q9C035	TRIM5_HUMAN	TRIM5 RNF88	2.3.2.27
Q6XPS3	TPTE2_HUMAN	TPTE2 TPIP	3.1.3.67
Q70EK9	UBP51_HUMAN	USP51	3.4.19.12
Q93009	UBP7_HUMAN	USP7 HAUSP	3.4.19.12
Q15386	UBE3C_HUMAN	UBE3C KIAA0010 KIAA10	2.3.2.26
P13051	UNG_HUMAN	UNG DGU UNG1 UNG15	3.2.2.27
P54855	UDB15_HUMAN	UGT2B15 UGT2B8	2.4.1.17
Q9BQB6	VKOR1_HUMAN	VKORC1 VKOR MSTP134 MSTP576 UNQ308/PRO351	1.17.4.4
Q16827	PTPRO_HUMAN	PTPRO GLEPP1 PTPU2	3.1.3.48
P31350	RIR2_HUMAN	RRM2 RR2	1.17.4.1
O00506	STK25_HUMAN	STK25 SOK1 YSK1	2.7.11.1
P54577	SYYC_HUMAN	YARS1 YARS	6.1.1.1
P07814	SYEP_HUMAN	EPRS1 EPRS GLNS PARS QARS QPRS PIG32	6.1.1.17; 6.1.1.15
Q9UGM6	SYWM_HUMAN	WARS2	6.1.1.2
Q7L0Y3	TM10C_HUMAN	TRMT10C MRPP1 RG9MTD1	2.1.1.-; 2.1.1.218; 2.1.1.221
Q12899	TRI26_HUMAN	TRIM26 RNF95 ZNF173	2.3.2.27
Q16763	UBE2S_HUMAN	UBE2S E2EPF OK/SW-cl.73	2.3.2.23
P62253	UB2G1_HUMAN	UBE2G1 UBE2G	2.3.2.23
Q92995	UBP13_HUMAN	USP13 ISOT3	3.4.19.12
Q9HAW8	UD110_HUMAN	UGT1A10 GNT1 UGT1	2.4.1.17
O94782	UBP1_HUMAN	USP1	3.4.19.12
O75795	UDB17_HUMAN	UGT2B17	2.4.1.17
O95497	VNN1_HUMAN	VNN1	3.5.1.92
Q9Y3Z3	SAMH1_HUMAN	SAMHD1 MOP5	3.1.5.-
Q9Y3I0	RTCB_HUMAN	RTCB C22orf28 HSPC117	6.5.1.8
Q9Y5K1	SPO11_HUMAN	SPO11	5.6.2.2
P35610	SOAT1_HUMAN	SOAT1 ACACT ACACT1 ACAT ACAT1 SOAT STAT	2.3.1.26
O95630	STABP_HUMAN	STAMBP AMSH	3.4.19.-
P51687	SUOX_HUMAN	SUOX	1.8.3.1
Q96A09	TET5B_HUMAN	TENT5B FAM46B	2.7.7.-
Q9Y606	TRUA_HUMAN	PUS1 PP8985	5.4.99.12
Q99536	VAT1_HUMAN	VAT1	1.-.-.-
O00308	WWP2_HUMAN	WWP2	2.3.2.26
O00141	SGK1_HUMAN	SGK1 SGK	2.7.11.1
O75897	ST1C4_HUMAN	SULT1C4 SULT1C2	2.8.2.-
Q5JTZ9	SYAM_HUMAN	AARS2 AARSL KIAA1270	6.1.1.7
Q8NFU7	TET1_HUMAN	TET1 CXXC6 KIAA1676 LCX	1.14.11.n2
Q8TBZ6	TM10A_HUMAN	TRMT10A RG9MTD2	2.1.1.221
Q9UKI8	TLK1_HUMAN	TLK1 KIAA0137	2.7.11.1
O95825	QORL1_HUMAN	CRYZL1 4P11	1.-.-.-
Q96I15	SCLY_HUMAN	SCLY SCL	4.4.1.16
Q587J7	TDR12_HUMAN	TDRD12 ECAT8	3.6.4.13
Q68CJ6	SLIP_HUMAN	NUGGC C8orf80 HMFN0672	3.6.1.-
Q9Y6I0	VPK6_HUMAN	ERVK-6 ERVK6	3.4.23.50
Q8WVY7	UBCP1_HUMAN	UBLCP1	3.1.3.16
Q8IWX5	SGPP2_HUMAN	SGPP2	3.1.3.-
Q7RTY8	TMPS7_HUMAN	TMPRSS7	3.4.21.-
Q8TAA1	RNS11_HUMAN	RNASE11 C14orf6 UNQ5832/PRO19669	3.1.27.-
A0A0B4J2F2	SIK1B_HUMAN	SIK1B	2.7.11.1
P49221	TGM4_HUMAN	TGM4	2.3.2.13
Q9HBJ7	UBP29_HUMAN	USP29	3.4.19.12
Q969P6	TOP1M_HUMAN	TOP1MT	5.6.2.1
Q9NUP7	TRM13_HUMAN	TRMT13 CCDC76	2.1.1.225
O95900	TRUB2_HUMAN	TRUB2	5.4.99.-
Q6NUM6	TYW1B_HUMAN	TYW1B RSAFD2	4.1.3.44
Q9BXU7	UBP26_HUMAN	USP26	3.4.19.12
Q8N0Z8	PUSL1_HUMAN	PUSL1	5.4.99.-
Q9HAC7	SUCHY_HUMAN	SUGCT C7orf10 DERP13	2.8.3.13
Q8WU08	ST32A_HUMAN	STK32A YANK1	2.7.11.1
Q6P1N9	TATD1_HUMAN	TATDN1 CDA11	3.1.21.-
Q9NV66	TYW1_HUMAN	TYW1 RSAFD1	4.1.3.44
Q7Z3V4	UBE3B_HUMAN	UBE3B	2.3.2.26
P36537	UDB10_HUMAN	UGT2B10	2.4.1.17
Q8N1G1	REXO1_HUMAN	REXO1 ELOABP1 KIAA1138 TCEB3BP1	3.1.-.-
Q9BU70	TRMO_HUMAN	TRMO C9orf156 HSPC219	2.1.1.-
Q2QD12	RPEL1_HUMAN	RPEL1	5.1.3.1
Q8NHH1	TTL11_HUMAN	TTLL11 C9orf20	6.-.-.-
O95922	TTLL1_HUMAN	TTLL1 C22orf7	6.-.-.-
Q32NB8	PGPS1_HUMAN	PGS1	2.7.8.5
Q8TC41	RN217_HUMAN	RNF217 C6orf172 IBRDC1	2.3.2.31
Q9Y2C2	UST_HUMAN	UST DS2ST	2.8.2.-
Q5VTB9	RN220_HUMAN	RNF220 C1orf164	2.3.2.27
D6RCP7	U17LJ_HUMAN	USP17L19	3.4.19.12
P52888	THOP1_HUMAN	THOP1	3.4.24.15
Q9BQ61	TRIR_HUMAN	TRIR C19orf43	3.1.13.-
Q9UJK0	TSR3_HUMAN	TSR3 C16orf42 UND313L	2.5.1.-
D6R9N7	U17LI_HUMAN	USP17L18	3.4.19.12
D6RJB6	U17LK_HUMAN	USP17L20	3.4.19.12
Q8TE77	SSH3_HUMAN	SSH3 SSH3L	3.1.3.16; 3.1.3.48
Q9H5L6	THAP9_HUMAN	THAP9	2.7.7.-
Q9BQ65	USB1_HUMAN	USB1 C16orf57	3.1.4.-
Q96BW9	TAM41_HUMAN	TAMM41 C3orf31	2.7.7.41
Q9P272	TRM9B_HUMAN	TRMT9B C8orf79 KIAA1456 TRM9L	2.1.1.-
Q8IUR5	TMTC1_HUMAN	TMTC1 ARG99	2.4.1.109
P63121	VP113_HUMAN	HERVK_113	3.4.23.50
Q8NEG5	ZSWM2_HUMAN	ZSWIM2 ZZZ2	2.3.2.27
Q9BVH7	SIA7E_HUMAN	ST6GALNAC5 SIAT7E	2.4.99.-
Q9H6P5	TASP1_HUMAN	TASP1 C20orf13	3.4.25.-
Q5VWP2	TET5C_HUMAN	TENT5C FAM46C	2.7.7.19
Q8NE22	SETD9_HUMAN	SETD9 C5orf35	2.1.1.-
Q6IMI4	ST6B1_HUMAN	SULT6B1	2.8.2.n2
Q5HYM0	ZC12B_HUMAN	ZC3H12B CXorf32 MCPIP2	3.1.-.-
Q8NB14	UBP38_HUMAN	USP38 KIAA1891	3.4.19.12
Q6UWM9	UD2A3_HUMAN	UGT2A3 UNQ2559/PRO6239	2.4.1.17
C9JJH3	U17LA_HUMAN	USP17L10	3.4.19.12
C9JLJ4	U17LD_HUMAN	USP17L13	3.4.19.12
Q8N6D2	RN182_HUMAN	RNF182	2.3.2.27
Q8IYL2	TRM44_HUMAN	TRMT44 C4orf23 METTL19	2.1.1.211
Q9Y4R7	TTLL3_HUMAN	TTLL3 PRO0207	6.3.2.-
Q9UI38	TSP50_HUMAN	PRSS50 CT20 TSP50	3.4.25.-
Q9BZJ3	TRYD_HUMAN	TPSD1	3.4.21.59
Q53H54	TYW2_HUMAN	TRMT12 TRM12 TYW2	2.5.1.114
Q5VWQ0	RSBN1_HUMAN	RSBN1	1.14.11.-
P36406	TRI23_HUMAN	TRIM23 ARD1 ARFD1 RNF46	2.3.2.27
Q14258	TRI25_HUMAN	TRIM25 EFP RNF147 ZNF147	6.3.2.n3; 2.3.2.27
Q86VQ6	TRXR3_HUMAN	TXNRD3 TGR TRXR3	1.8.1.9
P0C1S8	WEE2_HUMAN	WEE2 WEE1B	2.7.10.2
Q9H4P4	RNF41_HUMAN	RNF41 FLRF NRDP1 SBBI03	2.3.2.27
P78330	SERB_HUMAN	PSPH	3.1.3.3
Q86TM6	SYVN1_HUMAN	SYVN1 HRD1 KIAA1810	2.3.2.27
P25325	THTM_HUMAN	MPST TST2	2.8.1.2
O60858	TRI13_HUMAN	TRIM13 LEU5 RFP2 RNF77	2.3.2.27
Q8IYM9	TRI22_HUMAN	TRIM22 RNF94 STAF50	2.3.2.27
O14773	TPP1_HUMAN	TPP1 CLN2 GIG1 UNQ267/PRO304	3.4.14.9
Q14679	TTLL4_HUMAN	TTLL4 KIAA0173	6.-.-.-
Q8NHM4	TRY6_HUMAN	PRSS3P2 T6 TRY6	3.4.21.4
Q8TAS1	UHMK1_HUMAN	UHMK1 KIS KIST	2.7.11.1
P62837	UB2D2_HUMAN	UBE2D2 PUBC1 UBC4 UBC5B UBCH4 UBCH5B	2.3.2.23; 2.3.2.24
Q70CQ4	UBP31_HUMAN	USP31 KIAA1203	3.4.19.12
Q9H0E7	UBP44_HUMAN	USP44	3.4.19.12
P04818	TYSY_HUMAN	TYMS TS OK/SW-cl.29	2.1.1.45
O75317	UBP12_HUMAN	USP12 UBH1 USP12L1	3.4.19.12
P35504	UD15_HUMAN	UGT1A5 GNT1 UGT1	2.4.1.17
P62256	UBE2H_HUMAN	UBE2H	2.3.2.23; 2.3.2.24
A2RUC4	TYW5_HUMAN	TYW5 C2orf60	1.14.11.42
Q6NUS8	UD3A1_HUMAN	UGT3A1	2.4.1.17
Q9UK80	UBP21_HUMAN	USP21 USP23 PP1490	3.4.19.12
Q9H1B5	XYLT2_HUMAN	XYLT2 XT2 UNQ3058/PRO9878	2.4.2.26
Q9NQH7	XPP3_HUMAN	XPNPEP3	3.4.11.9
Q9Y3S1	WNK2_HUMAN	WNK2 KIAA1760 PRKWNK2 SDCCAG43 P/OKcl.13	2.7.11.1
P63124	VPK04_HUMAN	HERV-K104	3.4.23.50
P10265	VPK10_HUMAN	ERVK-10	3.4.23.50
P63122	VPK8_HUMAN	ERVK-8	3.4.23.50
P0C024	NUDT7_HUMAN	NUDT7	3.6.1.-
Q96RR1	PEO1_HUMAN	TWNK C10orf2 PEO1	3.6.4.12
Q5VZY2	PLPP4_HUMAN	PLPP4 DPPL2 PPAPDC1 PPAPDC1A	3.1.3.4; 3.1.3.81
Q96F10	SAT2_HUMAN	SAT2 SSAT2	2.3.1.-; 2.3.1.57
P19623	SPEE_HUMAN	SRM SPS1 SRML1	2.5.1.16
Q8N6T7	SIR6_HUMAN	SIRT6 SIR2L6	2.3.1.286
