Entry	Cross-reference (InterPro)
Q9Y663	IPR037359;IPR027417;IPR000863;
Q9Y662	IPR037359;IPR027417;IPR000863;
Q9Y661	IPR037359;IPR027417;IPR000863;
Q9Y657	IPR003671;IPR029565;
Q9Y653	IPR040950;IPR017981;IPR000832;IPR003910;IPR000203;IPR040679;
Q9Y651	IPR009071;IPR036910;IPR022097;
Q9Y646	IPR039866;IPR007484;
Q9Y644	IPR017374;IPR003378;
Q9Y639	IPR007110;IPR036179;IPR013783;IPR003599;IPR003598;IPR027112;
Q9Y625	IPR001863;IPR031183;IPR019803;
Q9Y624	IPR007110;IPR036179;IPR013783;IPR003599;IPR003598;IPR013106;
Q9Y623	IPR000048;IPR036961;IPR001609;IPR027401;IPR004009;IPR008989;IPR002928;IPR027417;
Q9Y620	IPR014001;IPR001650;IPR027417;IPR038718;IPR000330;
Q9Y619	IPR018108;IPR023395;
Q9Y618	IPR009057;IPR031557;IPR001005;IPR017884;
Q9Y617	IPR000192;IPR020578;IPR022278;IPR015424;IPR015422;IPR015421;
Q9Y616	IPR011029;IPR000488;IPR033610;IPR011009;IPR000719;
Q9Y615	IPR004000;IPR027679;IPR031769;
Q9Y614	IPR004000;IPR027680;
Q9Y613	IPR011989;IPR016024;IPR015425;IPR042201;IPR027647;IPR041387;IPR014768;
Q9Y608	IPR019139;
Q9Y606	IPR020103;IPR001406;IPR020097;IPR020095;IPR041708;
Q9Y605	IPR029254;
Q9Y603	IPR000418;IPR003118;IPR013761;IPR036388;IPR036390;
Q9Y600	IPR002129;IPR015424;IPR015421;
Q9Y5Z9	IPR000537;IPR026046;
Q9Y5Z7	IPR003961;IPR036116;IPR011043;IPR037932;IPR013783;IPR015915;
Q9Y5Z6	IPR002659;IPR029044;
Q9Y5Z4	IPR011256;IPR006917;
Q9Y5Z0	IPR001461;IPR001969;IPR009119;IPR009121;IPR033874;IPR033121;IPR021109;
Q9Y5Y9	IPR005821;IPR028809;IPR001696;IPR010526;IPR027359;
Q9Y5Y7	IPR016186;IPR016187;IPR000538;
Q9Y5Y6	IPR000859;IPR036055;IPR023415;IPR002172;IPR009003;IPR017051;IPR000082;IPR036364;IPR035914;IPR001254;IPR018114;IPR033116;
Q9Y5Y5	IPR013919;
Q9Y5Y4	IPR000276;IPR017452;
Q9Y5Y3	IPR000276;IPR017452;
Q9Y5Y2	IPR019591;IPR000808;IPR028600;IPR027417;IPR033756;
Q9Y5Y0	IPR011701;IPR020846;IPR036259;
Q9Y5X9	IPR029058;IPR013818;IPR016272;IPR033906;IPR002330;IPR001024;IPR036392;IPR000734;
Q9Y5X5	IPR000276;IPR017452;IPR005395;IPR005397;
Q9Y5X4	IPR035500;IPR000536;IPR001723;IPR000003;IPR001628;IPR013088;
Q9Y5X3	IPR027267;IPR001683;IPR036871;IPR042135;IPR028654;IPR014637;IPR015404;
Q9Y5X2	IPR027267;IPR001683;IPR036871;IPR028662;IPR035704;
Q9Y5X1	IPR027267;IPR001683;IPR036871;IPR036028;IPR001452;IPR028644;IPR037425;IPR014536;IPR037426;IPR035558;IPR019497;
Q9Y5X0	IPR001683;IPR036871;
Q9Y5W9	IPR001683;IPR036871;IPR028655;
Q9Y5W8	IPR001683;IPR003114;IPR036871;IPR016137;IPR036305;IPR037437;IPR037896;IPR013937;
Q9Y5W7	IPR001683;IPR003114;IPR036871;IPR016137;IPR036305;IPR037436;IPR037892;IPR013937;
Q9Y5W5	IPR013032;IPR000742;IPR003306;IPR038677;IPR013309;
Q9Y5W3	IPR036236;IPR013087;
Q9Y5V3	IPR037445;IPR041898;IPR041899;IPR030083;IPR002190;
Q9Y5V0	IPR007513;IPR026939;
Q9Y5U9	IPR013880;
Q9Y5U8	IPR005336;
Q9Y5U5	IPR001368;IPR022318;IPR034018;
Q9Y5U4	IPR025929;
Q9Y5U2	IPR029338;
Q9Y5T5	IPR038765;IPR001394;IPR030849;IPR018200;IPR028889;IPR013083;IPR001607;
Q9Y5T4	IPR001623;IPR036869;
Q9Y5S9	IPR012677;IPR035979;IPR008111;IPR000504;IPR033744;
Q9Y5S8	IPR000778;IPR013112;IPR017927;IPR013130;IPR013121;IPR039261;IPR029650;IPR017938;
Q9Y5S2	IPR000961;IPR001180;IPR000095;IPR020454;IPR031597;IPR011009;IPR033232;IPR014930;IPR002219;IPR011993;IPR001849;IPR000719;IPR017441;IPR008271;
Q9Y5S1	IPR002110;IPR020683;IPR036770;IPR005821;IPR024862;IPR008347;IPR024865;
Q9Y5R8	IPR011012;IPR007233;
Q9Y5R6	IPR001275;IPR036407;IPR026607;IPR022114;
Q9Y5R5	IPR001275;IPR036407;IPR026607;
Q9Y5R4	IPR002295;IPR002052;IPR004556;IPR040758;IPR019874;IPR029063;IPR007848;
Q9Y5R2	IPR000585;IPR036375;IPR018487;IPR018486;IPR033739;IPR024079;IPR028723;IPR001818;IPR021190;IPR021805;IPR006026;IPR002477;IPR036365;
Q9Y5Q9	IPR039340;IPR013026;IPR011990;IPR019734;
Q9Y5Q8	IPR041499;IPR040454;IPR019136;
Q9Y5Q6	IPR016179;IPR036438;IPR022353;
Q9Y5Q5	IPR017052;IPR041762;IPR041763;IPR020067;IPR036790;IPR036055;IPR023415;IPR002172;IPR009003;IPR017448;IPR036772;IPR001254;IPR033116;
Q9Y5Q3	IPR004827;IPR004826;IPR013592;IPR028571;IPR008917;IPR024874;
Q9Y5Q0	IPR001199;IPR036400;IPR005804;IPR012171;
Q9Y5P8	IPR011992;IPR041534;IPR018247;IPR002048;
Q9Y5P6	IPR001451;IPR018357;IPR005835;IPR029044;
Q9Y5P4	IPR011993;IPR001849;IPR041952;IPR023393;IPR002913;
Q9Y5P3	IPR026092;
Q9Y5P2	
Q9Y5P1	IPR000276;IPR017452;IPR000725;
Q9Y5P0	IPR000276;IPR017452;IPR000725;
Q9Y5N6	IPR008721;IPR020529;
Q9Y5N5	IPR002052;IPR004557;IPR029063;IPR007848;
Q9Y5N1	IPR041998;IPR000276;IPR017452;IPR003980;
Q9Y5M8	IPR027417;IPR019009;
Q9Y5M6	
Q9Y5M1	
Q9Y5L5	IPR029194;
Q9Y5L4	IPR004217;IPR035427;IPR039238;
Q9Y5L3	IPR000407;
Q9Y5L2	IPR026190;
Q9Y5L0	IPR011989;IPR016024;IPR013598;
Q9Y5K8	IPR002699;
Q9Y5K6	IPR028445;IPR035775;IPR035777;IPR035776;IPR036028;IPR001452;
Q9Y5K5	IPR038765;IPR001578;IPR036959;IPR017390;IPR033837;IPR041507;
Q9Y5K3	IPR041723;IPR004821;IPR014729;
Q9Y5K2	IPR009003;IPR001314;IPR001254;IPR018114;IPR033116;
Q9Y5K1	IPR004084;IPR013048;IPR002815;IPR013049;IPR036078;IPR034136;IPR036388;
Q9Y5J9	IPR004217;IPR035427;IPR039238;
Q9Y5J7	IPR004217;IPR035427;
Q9Y5J6	IPR004217;IPR035427;
Q9Y5J5	IPR011993;IPR001849;IPR040443;
Q9Y5J3	IPR011598;IPR036638;IPR003650;
Q9Y5J1	IPR015943;IPR001680;IPR019775;IPR017986;IPR036322;
Q9Y5I7	IPR006187;IPR003927;IPR017974;IPR004031;
Q9Y5I4	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;IPR030726;
Q9Y5I3	IPR002126;IPR015919;IPR031904;IPR020894;IPR013164;IPR030740;
Q9Y5I2	IPR002126;IPR015919;IPR031904;IPR020894;IPR013164;
Q9Y5I1	IPR002126;IPR015919;IPR031904;IPR020894;IPR013164;
Q9Y5I0	IPR002126;IPR015919;IPR031904;IPR020894;IPR013164;
Q9Y5H9	IPR002126;IPR015919;IPR031904;IPR020894;IPR013164;
Q9Y5H8	IPR002126;IPR015919;IPR031904;IPR020894;IPR013164;
Q9Y5H7	IPR002126;IPR015919;IPR031904;IPR020894;IPR013164;
Q9Y5H6	IPR002126;IPR015919;IPR031904;IPR020894;IPR013164;
Q9Y5H5	IPR002126;IPR015919;IPR031904;IPR020894;IPR013164;
Q9Y5H4	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;IPR030736;
Q9Y5H3	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5H2	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5H1	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;IPR030725;
Q9Y5H0	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5G9	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5G8	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5G7	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5G6	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5G5	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5G4	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5G3	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5G2	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5G1	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5G0	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5F9	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5F8	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5F7	IPR002126;IPR015919;IPR031904;IPR020894;IPR013164;
Q9Y5F6	IPR002126;IPR015919;IPR032455;IPR031904;IPR020894;IPR013164;
Q9Y5F3	IPR002126;IPR015919;IPR032455;IPR020894;IPR013164;IPR030723;
Q9Y5F2	IPR002126;IPR015919;IPR032455;IPR020894;IPR013164;IPR030734;
Q9Y5F1	IPR002126;IPR015919;IPR032455;IPR020894;IPR013164;
Q9Y5F0	IPR002126;IPR015919;IPR032455;IPR020894;IPR013164;
Q9Y5E9	IPR002126;IPR015919;IPR032455;IPR020894;IPR013164;
Q9Y5E8	IPR002126;IPR015919;IPR032455;IPR020894;IPR013164;IPR030733;
Q9Y5E7	IPR002126;IPR015919;IPR032455;IPR020894;IPR013164;IPR030735;
Q9Y5E6	IPR002126;IPR015919;IPR032455;IPR020894;IPR013164;IPR030735;
Q9Y5E5	IPR002126;IPR015919;IPR032455;IPR020894;IPR013164;IPR030729;
Q9Y5E4	IPR002126;IPR015919;IPR032455;IPR020894;IPR013164;IPR030730;
Q9Y5E3	IPR002126;IPR015919;IPR032455;IPR020894;IPR013164;
Q9Y5E2	IPR002126;IPR015919;IPR032455;IPR020894;IPR013164;IPR030741;
Q9Y5E1	IPR002126;IPR015919;IPR032455;IPR020894;IPR013164;
Q9Y5C1	IPR036056;IPR002181;
Q9Y5B9	IPR029149;IPR036005;IPR013719;IPR029148;IPR013953;IPR000994;IPR011993;IPR040258;IPR033825;
Q9Y5B8	IPR034907;IPR036850;IPR011410;IPR035525;IPR037993;IPR001564;IPR006602;
Q9Y5B6	IPR012890;IPR022783;
Q9Y5B0	IPR001357;IPR036420;IPR039189;IPR015388;IPR004274;IPR011947;IPR036412;IPR023214;
Q9Y5A9	IPR007275;
Q9Y5A7	IPR039749;IPR041207;IPR011990;IPR015940;IPR009060;IPR029071;
Q9Y5A6	IPR003309;IPR038269;IPR036236;IPR013087;
Q9Y597	IPR000210;IPR011333;IPR003131;IPR015943;IPR001680;IPR019775;IPR036322;
Q9Y592	IPR029631;
Q9Y587	IPR016635;IPR022775;IPR011012;
Q9Y586	IPR024810;IPR020950;IPR000772;
Q9Y585	IPR000276;IPR017452;IPR000725;
Q9Y584	IPR039175;
Q9Y581	IPR016179;IPR017100;IPR036438;IPR022353;
Q9Y580	IPR012677;IPR035979;IPR034500;IPR000504;
Q9Y577	IPR001870;IPR003879;IPR013320;IPR006574;IPR003877;IPR032918;IPR035687;IPR027370;IPR000315;IPR001841;IPR013083;IPR017907;
Q9Y576	IPR002110;IPR020683;IPR036770;IPR037331;IPR001496;IPR036036;
Q9Y575	IPR002110;IPR020683;IPR036770;IPR037329;IPR001496;IPR036036;
Q9Y574	IPR002110;IPR020683;IPR036770;IPR001496;IPR036036;
Q9Y573	IPR011705;IPR017096;IPR000210;IPR011043;IPR030104;IPR015915;IPR006652;IPR011333;
Q9Y572	IPR011009;IPR000719;IPR017441;IPR025735;IPR008271;
Q9Y570	IPR029058;IPR000073;IPR016812;
Q9Y566	IPR002110;IPR020683;IPR036770;IPR001478;IPR041489;IPR036034;IPR001660;IPR013761;IPR036028;IPR001452;IPR035735;
Q9Y561	IPR000859;IPR036055;IPR023415;IPR002172;IPR035914;
Q9Y548	IPR006977;IPR039765;
Q9Y547	IPR000421;IPR008979;IPR033558;
Q9Y546	IPR001611;IPR032675;IPR039631;
Q9Y543	IPR011598;IPR036638;IPR003650;
Q9Y536	IPR029000;IPR024936;IPR020892;IPR002130;
Q9Y535	IPR012340;IPR013238;IPR036898;IPR004519;IPR005576;
Q9Y534	IPR011129;IPR019844;IPR002059;IPR012340;
Q9Y530	IPR002589;
Q9Y520	IPR009738;IPR033184;
Q9Y519	IPR005178;
Q9Y512	IPR000184;IPR039910;IPR034746;
Q9Y508	IPR008598;IPR034734;IPR027370;IPR001841;IPR013083;IPR017907;
Q9Y4Z2	IPR011598;IPR036638;IPR032656;
Q9Y4Z0	IPR034101;IPR027141;IPR001163;IPR010920;
Q9Y4Y9	IPR033871;IPR001163;IPR010920;
Q9Y4X5	IPR031127;IPR002867;IPR001841;IPR013083;
Q9Y4X4	IPR030447;IPR036236;IPR013087;
Q9Y4X3	IPR001811;IPR036048;
Q9Y4X1	IPR002213;IPR035595;
Q9Y4X0	IPR023473;IPR036071;IPR002733;IPR027485;
Q9Y4W6	IPR003593;IPR041569;IPR003959;IPR003960;IPR005936;IPR027417;IPR011546;IPR000642;IPR037219;
Q9Y4W2	IPR007174;
Q9Y4U1	IPR032037;
Q9Y4R8	IPR016024;IPR038528;IPR019337;
Q9Y4R7	IPR004344;IPR027753;
Q9Y4P9	IPR001715;IPR010441;IPR036872;
Q9Y4P8	IPR015943;IPR001680;IPR036322;IPR032911;
Q9Y4P3	IPR020472;IPR015943;IPR001680;IPR019775;IPR017986;IPR036322;
Q9Y4P1	IPR032916;IPR038765;IPR005078;
Q9Y4M8	
Q9Y4L5	IPR001841;IPR013083;
Q9Y4L1	IPR018181;IPR029048;IPR029047;IPR013126;
Q9Y4K4	IPR001180;IPR011009;IPR021160;IPR000719;IPR017441;
Q9Y4K3	IPR002083;IPR012227;IPR008974;IPR027139;IPR037309;IPR041310;IPR001841;IPR013083;IPR017907;IPR001293;
Q9Y4K1	IPR001064;IPR011024;IPR035992;IPR000772;
Q9Y4K0	IPR001695;IPR019828;IPR001190;IPR017448;IPR036772;
Q9Y4J8	IPR017432;IPR011992;IPR015153;IPR015154;IPR000433;
Q9Y4I5	IPR005172;IPR028307;IPR033467;
Q9Y4I1	IPR002710;IPR000048;IPR036961;IPR037988;IPR001609;IPR004009;IPR008989;IPR036103;IPR027417;
Q9Y4H4	IPR003109;IPR011990;
Q9Y4H2	IPR039011;IPR002404;IPR011993;IPR001849;
Q9Y4G8	IPR018490;IPR000595;IPR001478;IPR036034;IPR000159;IPR030739;IPR008937;IPR000651;IPR023578;IPR001895;IPR014710;IPR029071;
Q9Y4G6	IPR036723;IPR019749;IPR014352;IPR035963;IPR019748;IPR019747;IPR000299;IPR032425;IPR018979;IPR035964;IPR002558;IPR011993;IPR037438;IPR015224;IPR036476;IPR029071;IPR015009;
Q9Y4G2	IPR002219;IPR011993;IPR001849;IPR004012;IPR037213;IPR025258;
Q9Y4F9	IPR011989;IPR016024;IPR031780;IPR033035;IPR026136;
Q9Y4F5	IPR029300;IPR000253;IPR008984;
Q9Y4F4	IPR011989;IPR016024;IPR028401;IPR034085;
Q9Y4F3	IPR041966;IPR024768;IPR024582;IPR034189;IPR034191;IPR012677;IPR021139;IPR025605;IPR035979;IPR000504;
Q9Y4F1	IPR019749;IPR035899;IPR000219;IPR000798;IPR041788;IPR014847;IPR014352;IPR035963;IPR019748;IPR019747;IPR000299;IPR018979;IPR018980;IPR011993;IPR001849;IPR029071;
Q9Y4E8	IPR035927;IPR038765;IPR006615;IPR001394;IPR013792;IPR028135;IPR029071;IPR029346;IPR018200;IPR028889;
Q9Y4E6	IPR011047;IPR015943;IPR001680;IPR019775;IPR017986;IPR036322;
Q9Y4E5	IPR041192;IPR013087;
Q9Y4E1	IPR029341;
Q9Y4D8	IPR000569;IPR035983;IPR035781;
Q9Y4D7	IPR013783;IPR014756;IPR002909;IPR031148;IPR013548;IPR002165;IPR016201;IPR008936;IPR001627;IPR036352;IPR041019;IPR015943;
Q9Y4D2	IPR029058;IPR002921;
Q9Y4D1	IPR011989;IPR016024;IPR014767;IPR015425;IPR042201;IPR010472;IPR014768;IPR010473;
Q9Y4C8	IPR012677;IPR035979;IPR034419;IPR034420;IPR034423;IPR034421;IPR034418;IPR034417;IPR000504;IPR003954;
Q9Y4C5	IPR016469;IPR027417;IPR000863;
Q9Y4C4	IPR001611;IPR003591;IPR032675;IPR027417;IPR020859;
Q9Y4C2	IPR029062;IPR035423;IPR042279;IPR031161;
Q9Y4C1	IPR003347;
Q9Y4C0	IPR013320;IPR000742;IPR000152;IPR001791;IPR003585;IPR027789;
Q9Y4B6	IPR016024;IPR006594;IPR033270;IPR015943;IPR036322;
Q9Y4B5	IPR027882;IPR027881;
Q9Y4B4	IPR014001;IPR001650;IPR027417;IPR000330;
Q9Y4A9	IPR000276;IPR017452;IPR000725;
Q9Y4A8	IPR004827;IPR004826;IPR029854;IPR008917;
Q9Y4A5	IPR016024;IPR003152;IPR011009;IPR000403;IPR003151;IPR014009;IPR033317;
Q9Y4A0	IPR004875;IPR009057;IPR006600;IPR007889;IPR036388;
Q9Y496	IPR027640;IPR019821;IPR001752;IPR036961;IPR027417;
Q9Y493	IPR013320;IPR013032;IPR000742;IPR000998;IPR036084;IPR002919;IPR025615;IPR014853;IPR001007;IPR001846;
Q9Y490	IPR036723;IPR019749;IPR014352;IPR035963;IPR019748;IPR019747;IPR000299;IPR032425;IPR018979;IPR035964;IPR002558;IPR011993;IPR037438;IPR015224;IPR036476;IPR029071;IPR015009;
Q9Y487	IPR002490;IPR026028;
Q9Y485	IPR022033;IPR015943;IPR001680;IPR017986;IPR036322;
Q9Y484	IPR015943;IPR001680;IPR036322;IPR032910;
Q9Y483	IPR040477;IPR025894;IPR042014;IPR042015;IPR002999;IPR019786;IPR011011;IPR001965;IPR019787;IPR013083;
Q9Y478	IPR032640;IPR039160;IPR006828;IPR037256;IPR013783;IPR014756;
Q9Y473	IPR001909;IPR036051;IPR036236;IPR013087;
Q9Y471	IPR027033;IPR036866;
Q9Y468	IPR004092;IPR002515;IPR036060;
Q9Y467	IPR036236;IPR013087;
