Entry	Cross-reference (InterPro)
P13674	IPR005123;IPR006620;IPR013547;IPR013026;IPR011990;IPR019734;
P04637	IPR008967;IPR012346;IPR011615;IPR036674;IPR010991;IPR013872;IPR002117;
P68402	IPR013830;IPR036514;
Q15102	IPR013830;IPR036514;
P04416	IPR001211;IPR033112;IPR016090;IPR036444;IPR033113;
P47712	IPR016035;IPR000008;IPR035892;IPR002642;
Q9UP65	IPR016035;IPR002642;
P04055	IPR001211;IPR033112;IPR016090;IPR036444;IPR033113;
P97391	IPR001211;IPR033112;IPR016090;IPR036444;IPR033113;
Q9NZK7	IPR001211;IPR016090;IPR036444;IPR033113;
Q9BZM2	IPR001211;IPR016090;IPR036444;IPR033113;
Q9QZT4	IPR001211;IPR016090;IPR036444;IPR033113;
O15496	IPR001211;IPR033112;IPR016090;IPR036444;IPR033113;
Q8VEB4	IPR029058;IPR003386;
Q86W56	IPR007724;
P20083	IPR002288;IPR003594;IPR036890;IPR020568;IPR014721;IPR001241;IPR013760;IPR013759;IPR013506;IPR018522;IPR005737;IPR006171;
Q53GL7	IPR012677;IPR034464;IPR012317;
P55086	IPR000276;IPR017452;IPR002281;IPR003912;
Q96RI0	IPR000276;IPR017452;IPR003944;IPR003912;
P02918	IPR012338;IPR001264;IPR023346;IPR036950;IPR031376;IPR001460;
Q96NT5	IPR011701;IPR020846;IPR036259;IPR005829;
P12004	IPR000730;IPR022649;IPR022659;IPR022648;
Q92824	IPR000742;IPR006212;IPR008979;IPR032778;IPR009030;IPR034182;IPR002884;IPR000209;IPR036852;IPR023827;IPR022398;IPR023828;IPR015500;IPR032815;IPR038466;IPR011641;
Q9Z2J6	IPR000276;IPR017452;
Q9Y233	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
Q9QYJ6	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
Q14123	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;IPR013706;
Q63421	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;IPR013706;
P14099	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
O00408	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
Q01062	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
Q14432	IPR003607;IPR002073;IPR036971;IPR023174;
Q13946	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
O54735	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
Q96L73	IPR006560;IPR003616;IPR000313;IPR001214;IPR019786;IPR011011;IPR001965;IPR019787;IPR013083;
P60900	IPR029055;IPR023332;IPR000426;IPR001353;IPR034642;
Q99952	IPR029021;IPR000242;IPR016130;IPR003595;IPR000387;
P29352	IPR029021;IPR000242;IPR016276;IPR016130;IPR003595;IPR000387;
P29074	IPR019749;IPR014847;IPR014352;IPR035963;IPR019748;IPR019747;IPR000299;IPR018979;IPR018980;IPR001478;IPR036034;IPR011993;IPR029021;IPR000242;IPR016130;IPR003595;IPR012151;IPR000387;IPR029071;
P54829	IPR029021;IPR000242;IPR016130;IPR003595;IPR008356;IPR016334;IPR000387;
P35234	IPR029021;IPR000242;IPR016130;IPR003595;IPR008356;IPR000387;
P35236	IPR029021;IPR000242;IPR016130;IPR003595;IPR008356;IPR000387;
P43378	IPR001251;IPR036865;IPR011074;IPR036273;IPR029021;IPR000242;IPR016130;IPR003595;IPR000387;
P10451	IPR002038;IPR019841;
Q15257	IPR004327;IPR037218;
Q64604	IPR003961;IPR036116;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR029021;IPR000242;IPR016130;IPR003595;IPR000387;
P23470	IPR001148;IPR036398;IPR003961;IPR036116;IPR013783;IPR029021;IPR000242;IPR016130;IPR003595;IPR000387;
Q12913	IPR003961;IPR036116;IPR013783;IPR029021;IPR000242;IPR016130;IPR003595;IPR000387;
Q15256	IPR029021;IPR000242;IPR016130;IPR003595;IPR008356;IPR016334;IPR000387;
Q13332	IPR003961;IPR036116;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR029021;IPR000242;IPR016130;IPR003595;IPR000387;
O43613	IPR000276;IPR017452;IPR000204;IPR004059;
Q19564	IPR006181;IPR023209;IPR006076;
P30559	IPR000276;IPR017452;IPR002062;IPR001817;
P70536	IPR000276;IPR017452;IPR002062;IPR001817;
Q9H093	IPR011009;IPR000719;IPR017441;IPR008271;
P28066	IPR029055;IPR023332;IPR033812;IPR000426;IPR001353;
Q9UKG9	IPR000542;IPR039551;
P04000	IPR000276;IPR017452;IPR001760;IPR000378;IPR027430;
P60484	IPR017361;IPR000340;IPR029021;IPR014020;IPR029023;IPR016130;IPR003595;
Q06124	IPR029021;IPR000242;IPR000980;IPR036860;IPR016130;IPR003595;IPR012152;IPR000387;
P35235	IPR029021;IPR000242;IPR000980;IPR036860;IPR016130;IPR003595;IPR012152;IPR000387;
Q7Z3E1	IPR012317;IPR004170;IPR037197;IPR000571;
P35558	IPR018091;IPR013035;IPR008209;IPR035077;IPR035078;IPR008210;
Q63415	IPR000742;IPR006212;IPR008979;IPR032778;IPR009030;IPR034182;IPR002884;IPR000209;IPR036852;IPR023827;IPR022398;IPR023828;IPR015500;IPR010909;IPR032815;IPR038466;
Q9BQ51	IPR013162;IPR007110;IPR036179;IPR013783;IPR003599;
Q9Y5Y4	IPR000276;IPR017452;
Q53EL6	IPR016024;IPR003891;IPR016021;IPR039778;
Q9HCR9	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
Q01064	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;IPR013706;
P14646	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
Q08493	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
Q08499	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
Q01063	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
Q13370	IPR003607;IPR002073;IPR036971;IPR023174;
Q28156	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
O60658	IPR003607;IPR000014;IPR035965;IPR013767;IPR023088;IPR002073;IPR036971;IPR023174;
O95263	IPR003607;IPR000014;IPR035965;IPR023088;IPR002073;IPR036971;IPR023174;IPR013938;
P11541	IPR003018;IPR029016;IPR003607;IPR032958;IPR023088;IPR002073;IPR036971;IPR023174;
O43924	IPR014756;IPR008015;IPR037036;IPR017287;
P04085	IPR029034;IPR023581;IPR000072;IPR006782;
P01127	IPR029034;IPR023581;IPR000072;IPR006782;IPR015583;
Q15119	IPR036784;IPR018955;IPR039028;IPR003594;IPR036890;IPR005467;
P33302	IPR003593;IPR013525;IPR029481;IPR003439;IPR017871;IPR034001;IPR034003;IPR005285;IPR027417;IPR010929;
O00764	IPR013749;IPR004625;IPR029056;
P01213	IPR006024;IPR000750;
P20142	IPR001461;IPR001969;IPR012848;IPR033735;IPR033121;IPR021109;
Q63645	IPR000276;IPR017452;IPR002281;IPR003912;
Q8NBP7	IPR034193;IPR000209;IPR036852;IPR015500;IPR010259;IPR037045;
Q9NZQ7	IPR013162;IPR007110;IPR036179;IPR013783;IPR003599;IPR013106;
Q8CA95	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
P54750	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;IPR013706;
Q01066	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;IPR013706;
P54748	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
Q07343	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
O77746	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
O76074	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
O89084	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
P16499	IPR003018;IPR029016;IPR003607;IPR032958;IPR023088;IPR002073;IPR036971;IPR023174;
P07237	IPR005788;IPR005792;IPR036249;IPR017937;IPR013766;
Q15084	IPR005788;IPR036249;IPR017937;IPR013766;
Q64536	IPR036784;IPR018955;IPR039028;IPR003594;IPR036890;IPR005467;
O54937	IPR036784;IPR018955;IPR039028;IPR003594;IPR036890;IPR005467;
P30557	IPR000154;IPR000276;IPR017452;IPR008365;IPR001244;IPR000265;
P32240	IPR000276;IPR017452;IPR001758;IPR008365;IPR001244;
Q9BZ95	IPR006560;IPR003616;IPR000313;IPR001214;IPR019786;IPR011011;IPR001965;IPR019787;IPR013083;
P25787	IPR029055;IPR023332;IPR000426;IPR001353;IPR034644;
P25788	IPR029055;IPR023332;IPR037555;IPR000426;IPR001353;
P25789	IPR029055;IPR023332;IPR000426;IPR016050;IPR001353;IPR034647;
Q8IYL9	IPR000276;IPR017452;IPR005464;
P25105	IPR000276;IPR017452;IPR002282;
Q62035	IPR000276;IPR017452;IPR002282;
P46002	IPR000276;IPR017452;IPR002282;
P26599	IPR006536;IPR012677;IPR034798;IPR021790;IPR035000;IPR035001;IPR035979;IPR000504;
P51970	IPR010625;IPR016680;
P33908	IPR012341;IPR001382;IPR036026;
P13533	IPR000048;IPR036961;IPR001609;IPR027401;IPR004009;IPR008989;IPR002928;IPR027417;
Q8NEV4	IPR000048;IPR011009;IPR001609;IPR036083;IPR027417;IPR000719;IPR017441;
Q8WXR4	IPR000048;IPR011009;IPR036961;IPR001609;IPR036083;IPR027417;IPR000719;IPR017441;IPR008271;
P16435	IPR003097;IPR017927;IPR001094;IPR008254;IPR001709;IPR029039;IPR039261;IPR023173;IPR001433;IPR023208;IPR017938;
P08373	IPR016166;IPR036318;IPR016167;IPR016169;IPR003170;IPR011601;IPR036635;IPR006094;
P32300	IPR000321;IPR000276;IPR017452;IPR001418;
P33534	IPR000276;IPR017452;IPR000452;IPR001418;
P34975	IPR000276;IPR017452;IPR000452;IPR001418;
P97266	IPR000276;IPR017452;IPR001418;
P42866	IPR000276;IPR017452;IPR000105;IPR001418;
P41146	IPR000276;IPR017452;IPR001418;IPR001420;
O15146	IPR020067;IPR036790;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR011009;IPR000719;IPR017441;IPR001245;IPR008266;IPR020635;
P42346	IPR011989;IPR016024;IPR024585;IPR003152;IPR009076;IPR036738;IPR011009;IPR000403;IPR036940;IPR018936;IPR003151;IPR014009;IPR026683;
P35377	IPR000276;IPR017452;IPR001418;IPR001420;
P22188	IPR036565;IPR004101;IPR036615;IPR013221;IPR000713;IPR035911;IPR005761;
O97148	IPR017981;IPR000832;IPR023311;IPR010596;IPR036272;
P9WIS7	IPR003016;IPR001078;IPR014276;IPR000089;IPR023213;IPR036625;IPR004167;IPR011053;
P55157	IPR015819;IPR001747;IPR011030;IPR039988;IPR015816;
P48039	IPR000276;IPR017452;IPR002278;IPR027459;IPR000025;
P9WHH3	IPR036188;IPR023753;IPR016156;IPR017817;IPR001100;IPR004099;IPR012999;
Q8VIJ5	IPR016181;IPR011496;IPR017853;
Q8WXI7	IPR028850;IPR000082;IPR036364;
P43121	IPR013162;IPR007110;IPR036179;IPR013783;IPR003599;IPR003598;IPR013106;IPR013151;
P15941	IPR000082;IPR036364;
P98088	IPR006207;IPR036084;IPR002919;IPR014853;IPR001007;IPR001846;IPR025155;
Q13724	IPR008928;IPR012341;IPR031335;IPR031631;IPR038518;IPR004888;
P00540	IPR011009;IPR000719;IPR017441;IPR008271;
Q01986	IPR011009;IPR000719;IPR017441;IPR008271;
P46734	IPR011009;IPR000719;IPR017441;IPR008271;
Q01726	IPR000276;IPR017452;IPR001671;IPR000761;
Q01727	IPR000276;IPR017452;IPR001671;IPR000761;
Q8IXL7	IPR028427;IPR002579;IPR011057;
Q8WXB1	IPR019410;IPR029063;
P11137	IPR030797;IPR013588;IPR001084;
Q3SYC2	IPR007130;
Q6DT37	IPR000961;IPR001180;IPR000095;IPR011009;IPR033235;IPR014930;IPR002219;IPR011993;IPR001849;IPR000719;IPR017441;IPR008271;
Q92887	IPR003593;IPR011527;IPR036640;IPR003439;IPR017871;IPR030247;IPR005292;IPR027417;
P33533	IPR000321;IPR000276;IPR017452;IPR001418;
P35372	IPR000276;IPR017452;IPR000105;IPR001418;
Q9MYW9	IPR000276;IPR017452;IPR000105;IPR001418;
P02699	IPR000276;IPR017452;IPR001760;IPR027430;IPR000732;IPR019477;
Q96RD7	IPR000990;IPR039099;
P13995	IPR036291;IPR000672;IPR020630;IPR020867;IPR020631;
Q9JLN9	IPR011989;IPR016024;IPR024585;IPR003152;IPR009076;IPR036738;IPR011009;IPR000403;IPR036940;IPR018936;IPR003151;IPR014009;IPR026683;
P49287	IPR000276;IPR017452;IPR027459;IPR000025;
O60502	IPR016181;IPR011496;IPR017853;
P78380	IPR001304;IPR016186;IPR016187;IPR013600;IPR033992;
P0A749	IPR001986;IPR036968;IPR013792;IPR005750;
P53987	IPR004743;IPR030757;IPR011701;IPR020846;IPR036259;
P36507	IPR011009;IPR000719;IPR017441;IPR008271;
P36506	IPR011009;IPR000719;IPR017441;IPR008271;
P29952	IPR001250;IPR016305;IPR018050;IPR014710;IPR011051;
Q63120	IPR003593;IPR011527;IPR036640;IPR003439;IPR017871;IPR030247;IPR005292;IPR027417;
P41143	IPR000321;IPR000276;IPR017452;IPR001418;
P41145	IPR000276;IPR017452;IPR000452;IPR001418;
P79350	IPR000276;IPR017452;IPR000105;IPR001418;
P33535	IPR000276;IPR017452;IPR000105;IPR001418;
P35370	IPR000276;IPR017452;IPR001418;IPR001420;
Q9BZ23	IPR004567;
Q96RG2	IPR011009;IPR000014;IPR035965;IPR000719;IPR017441;IPR008271;
Q99836	IPR011029;IPR000488;IPR034249;IPR017281;IPR000157;IPR035897;
Q9H1R3	IPR011009;IPR000719;IPR017441;IPR008271;
Q02750	IPR011009;IPR000719;IPR017441;IPR008271;
P31938	IPR011009;IPR000719;IPR017441;IPR008271;
Q8VBX6	IPR015132;IPR004172;IPR036892;IPR032078;IPR001478;IPR036034;
Q99549	IPR002110;IPR020683;IPR036770;IPR016197;IPR000953;IPR023780;IPR023779;
O14733	IPR011009;IPR000719;IPR008271;
P20645	IPR028927;IPR000296;IPR009011;
P53602	IPR036554;IPR006204;IPR005935;IPR029765;IPR020568;IPR014721;
Q44238	IPR029149;IPR036005;IPR000994;IPR001131;IPR022846;
Q02083	IPR016699;IPR029130;IPR029132;
P9WHV7	IPR017438;IPR017437;IPR016064;IPR002504;
P43490	IPR013785;IPR007229;IPR016471;IPR036068;
Q99KQ4	IPR013785;IPR007229;IPR016471;IPR036068;
Q80W94	IPR007130;
Q13421	IPR010335;IPR026664;
Q9BV57	IPR004313;IPR027496;IPR014710;IPR011051;
P0AF12	IPR010049;IPR000845;IPR035994;
P49286	IPR000276;IPR017452;IPR002278;IPR027459;IPR000025;
Q13585	IPR000276;IPR017452;IPR002280;IPR000025;
O15527	IPR011257;IPR003265;IPR023170;IPR004577;IPR012904;
Q15743	IPR000276;IPR017452;IPR005389;
O15294	IPR037919;IPR029489;IPR013026;IPR011990;IPR001440;IPR019734;
P28494	IPR011013;IPR011330;IPR011682;IPR015341;IPR037094;IPR000602;IPR027291;IPR028995;IPR013780;
O95299	IPR031314;IPR015828;IPR027417;
Q9P032	IPR009622;
Q9UDY8	IPR029030;IPR011029;IPR007110;IPR036179;IPR013783;IPR003599;IPR003598;IPR033540;IPR037940;IPR001309;
P41279	IPR011009;IPR017424;IPR000719;IPR008271;
P80192	IPR011009;IPR035779;IPR016231;IPR000719;IPR017441;IPR001245;IPR008271;IPR036028;IPR001452;
Q01662	IPR036005;IPR000994;IPR001714;IPR002467;IPR031615;
P38024	IPR033626;IPR000031;IPR035893;IPR028923;IPR018236;
Q9HUJ8	IPR002288;IPR003594;IPR036890;IPR020568;IPR014721;IPR001241;IPR013760;IPR013759;IPR013506;IPR018522;IPR005737;IPR006171;
O02776	IPR007724;
Q2NL67	IPR012317;
P70263	IPR000276;IPR017452;IPR000376;IPR008365;
P23439	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
P16586	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
Q95142	IPR014756;IPR008015;IPR037036;IPR017287;
P26435	IPR002657;IPR004710;IPR038770;IPR030208;
Q86UW1	IPR005178;
P56718	IPR000276;IPR017452;IPR000204;IPR004059;
Q9TUP7	IPR000276;IPR017452;IPR000204;IPR004060;
P56719	IPR000276;IPR017452;IPR000204;IPR004060;
O01739	IPR006181;IPR023209;IPR006076;
O00398	IPR000276;IPR017452;IPR027676;
Q15391	IPR000276;IPR017452;IPR005466;
P49652	IPR000276;IPR017452;IPR000142;
O35811	IPR000276;IPR017452;IPR000018;
P54001	IPR005123;IPR006620;IPR013547;IPR013026;IPR011990;IPR019734;
P54904	IPR008927;IPR036291;IPR028939;IPR029036;IPR000304;
P9WP01	IPR000845;IPR035994;IPR011269;IPR011268;IPR018099;
Q05097	IPR008979;IPR012905;
P00602	IPR001211;IPR033112;IPR016090;IPR036444;IPR033113;
Q9QUL3	IPR001211;IPR016090;IPR036444;IPR033113;
Q59961	IPR002288;IPR003594;IPR036890;IPR005740;IPR020568;IPR014721;IPR001241;IPR013760;IPR013759;IPR013506;IPR018522;IPR006171;
Q9QYM2	IPR007724;
Q79EC5	IPR007712;IPR035093;
P14100	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;IPR013706;
P14644	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
Q9NP56	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
O89085	
Q14973	IPR002657;IPR004710;IPR038770;IPR030208;
P10098	IPR017896;IPR017900;IPR017491;
P40750	IPR012338;IPR001264;IPR023346;IPR036950;IPR001460;
Q01061	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;IPR013706;
P70453	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
P26294	IPR002937;IPR036188;IPR014102;
Q62053	IPR000276;IPR017452;IPR008365;IPR001923;
P14677	IPR012338;IPR005543;IPR005311;IPR036138;IPR001460;
Q6XKD3	IPR000276;IPR017452;
Q13258	IPR000276;IPR017452;IPR000376;IPR008365;
Q3UEI1	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;
Q28263	IPR003018;IPR029016;IPR003607;IPR032958;IPR023088;IPR002073;IPR036971;IPR023174;
O08705	IPR002657;IPR004710;IPR038770;IPR030208;
P21556	IPR000276;IPR017452;IPR002282;
P27652	IPR029058;IPR000073;IPR000639;
P02144	IPR000971;IPR009050;IPR012292;IPR002335;
P0A752	IPR004821;IPR005248;IPR014729;
P56181	IPR026193;
P79291	IPR000321;IPR000276;IPR017452;IPR001418;
P47748	IPR000276;IPR017452;IPR001418;IPR001420;
P14900	IPR036565;IPR004101;IPR036615;IPR013221;IPR005762;
P0A091	IPR036565;IPR004101;IPR036615;IPR013221;IPR005762;
Q9BRQ5	IPR012446;IPR030032;IPR038350;
Q9H999	IPR004567;
Q86YV6	IPR011009;IPR000719;IPR017441;IPR008271;
Q9CQ65	IPR010044;IPR000845;IPR035994;IPR018099;
P52902	IPR001017;IPR017597;IPR029061;
P52904	IPR027110;IPR029061;IPR009014;IPR005475;IPR033248;
P17952	IPR036565;IPR004101;IPR036615;IPR013221;IPR000713;IPR005758;
O31211	IPR036565;IPR004101;IPR036615;IPR013221;IPR000713;IPR005758;
Q96SN7	IPR012446;IPR030034;IPR038350;
P11880	IPR036565;IPR004101;IPR036615;IPR013221;IPR000713;IPR035911;IPR005863;
P0AF14	IPR010049;IPR000845;IPR035994;
P51050	IPR000276;IPR017452;IPR002278;IPR027459;IPR000025;
Q5TC84	IPR006757;IPR039574;
P00784	IPR038765;IPR025661;IPR000169;IPR025660;IPR013128;IPR000668;IPR039417;IPR013201;
Q2M385	IPR020864;IPR039707;
P9WJM9	IPR024909;IPR017812;IPR014729;IPR032678;
P54149	IPR002569;IPR036509;
Q923M1	IPR002569;IPR036509;
P9WPJ7	IPR001765;IPR036874;
Q9HZK1	IPR010044;IPR000845;IPR035994;IPR018099;
P15319	IPR013783;IPR008962;IPR036316;IPR001829;IPR016148;IPR018046;IPR016147;
Q836J0	IPR015942;IPR001920;IPR018187;IPR033134;IPR004391;
P63640	IPR015942;IPR001920;IPR018187;IPR033134;IPR004391;
P56068	IPR015942;IPR001920;IPR018187;IPR033134;IPR004391;
Q8CIP3	IPR000276;IPR017452;IPR026234;
P9WPJ9	IPR001765;IPR015892;IPR036874;
P41144	IPR000276;IPR017452;IPR000452;IPR001418;
Q8NHB7	IPR000276;IPR017452;IPR000725;
Q97RU8	IPR036565;IPR004101;IPR036615;IPR013221;IPR005762;
P55156	IPR015819;IPR001747;IPR011030;IPR039988;IPR015816;
P49285	IPR000276;IPR017452;IPR002278;IPR027459;IPR000025;
P49288	IPR000276;IPR017452;IPR027459;IPR002279;IPR000025;
P49219	IPR000276;IPR017452;IPR027459;IPR002279;IPR000025;
P15840	IPR018117;IPR001525;IPR029063;
Q53685	IPR002213;IPR035595;IPR006326;
Q9HVW7	IPR001986;IPR036968;IPR013792;IPR005750;
Q4QXU5	IPR000276;IPR017452;IPR026234;
Q9X034	IPR006680;IPR023512;IPR011059;IPR032466;
P84058	IPR001986;IPR036968;IPR013792;IPR005750;
P61431	IPR016166;IPR036318;IPR016167;IPR016169;IPR003170;IPR011601;IPR036635;IPR006094;
P17443	IPR006009;IPR007235;IPR004276;
Q04IS7	IPR015942;IPR001920;IPR018187;IPR033134;IPR004391;
P01109	IPR011598;IPR036638;IPR003327;IPR002418;IPR012682;
O60669	IPR004743;IPR027178;IPR011701;IPR020846;IPR036259;
P9WMW7	IPR000715;IPR003524;IPR018480;
Q96LB2	IPR000276;IPR017452;IPR026234;IPR027338;
Q8R4G1	IPR000276;IPR017452;IPR026234;
Q96LB1	IPR000276;IPR017452;IPR026234;
B2RX12	IPR003593;IPR011527;IPR036640;IPR003439;IPR017871;IPR005292;IPR027417;
Q03469	IPR015942;IPR001920;IPR018187;IPR033134;IPR004391;
P01103	IPR015395;IPR009057;IPR015495;IPR017930;IPR001005;IPR012642;
P65502	IPR004821;IPR005248;IPR014729;
Q5HH78	IPR017438;IPR017437;IPR016064;IPR002504;
O95907	IPR004743;IPR030759;IPR011701;IPR020846;IPR036259;
Q9D2G2	IPR003016;IPR001078;IPR000089;IPR023213;IPR011053;IPR006255;
Q56UN5	IPR011009;IPR000719;IPR017441;IPR008271;
P11444	IPR036849;IPR029017;IPR029065;IPR018110;IPR015654;IPR013342;IPR013341;
P46821	IPR026074;IPR027321;IPR000102;
P71716	IPR025110;IPR000873;
P32244	IPR000276;IPR017452;IPR002122;IPR001908;IPR001671;
Q8BH98	IPR004299;
P97287	IPR013281;IPR002475;IPR020717;IPR020726;IPR020728;IPR036834;IPR026298;
P26572	IPR004139;IPR029044;
Q8TCD5	IPR010708;IPR036412;IPR023214;
P49187	IPR011009;IPR003527;IPR008351;IPR000719;IPR008271;
P53778	IPR011009;IPR003527;IPR008352;IPR038786;IPR000719;IPR017441;
O08911	IPR011009;IPR003527;IPR008352;IPR038786;IPR000719;IPR017441;
Q63844	IPR011009;IPR003527;IPR008349;IPR000719;IPR017441;IPR008271;
P03891	IPR010933;IPR003917;IPR001750;
